"","FILE","CAUSE","CAUSE_SUB","IMPACT","COMPONENT","IMPACT_2","COMPONENT2","INVALID","NOTES","type_bug","project","issue_id","root_cause","impact","component"
"1","accumulo10--ACCUMULO-2645--test-release-2","SEM","SEM_Other (FuncImp)","Hang","Network","","","0","","TP Bugs","accumulo","2645","FuncImpl","Hang","Network"
"2","accumulo11--ACCUMULO-2719--test-release-2","SEM","SEM_MissCases","Crash","Core","","","0","","TP Bugs","accumulo","2719","MissC","Crash","Core"
"3","accumulo12--ACCUMULO-3030--test-release-2","SEM","SEM_MissCases","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","accumulo","3030","MissC","Incorrect","Core"
"4","accumulo13--ACCUMULO-1264--test-release-2","SEM","SEM_Other (FuncImp)","Hang","Network","","","0","","TP Bugs","accumulo","1264","FuncImpl","Hang","Network"
"5","accumulo14--ACCUMULO-1685--test-release-1","SEM","SEM_Typo","Incorrect Functionality (Func)","Network","","","0","","TP Bugs","accumulo","1685","Typo","Incorrect","Network"
"6","accumulo15--ACCUMULO-1672--test-release-1","SEM","SEM_Other (FuncImp)","Other","Network","","","0","","TP Bugs","accumulo","1672","FuncImpl","Other","Network"
"7","accumulo19--ACCUMULO-3007--test-release-2","SEM","SEM_MissCases","Incorrect Functionality (Func)","Network","","","0","","TP Bugs","accumulo","3007","MissC","Incorrect","Network"
"8","accumulo20--ACCUMULO-3009--test-release-2","SEM","SEM_Other (FuncImp)","Other","Network","","","0","","TP Bugs","accumulo","3009","FuncImpl","Other","Network"
"9","accumulo21--ACCUMULO-1846--test-release-1","SEM","SEM_Typo","Crash","Core","","","0","","TP Bugs","accumulo","1846","Typo","Crash","Core"
"10","accumulo24--ACCUMULO-1821--test-release-1","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Network","","","0","","TP Bugs","accumulo","1821","FuncImpl","Incorrect","Network"
"11","accumulo30--ACCUMULO-2967--test-release-2","SEM","SEM_Other (FuncImp)","Hang","Network","","","0","","TP Bugs","accumulo","2967","FuncImpl","Hang","Network"
"12","accumulo32--ACCUMULO-3006--test-release-2","SEM","SEM_MissCases","Crash","Network","","","0","","TP Bugs","accumulo","3006","MissC","Crash","Network"
"13","accumulo34--ACCUMULO-3003--test-release-2","SEM","SEM_Typo","Crash","Network","","","0","","TP Bugs","accumulo","3003","Typo","Crash","Network"
"14","accumulo4--ACCUMULO-3055--test-release-2","MEM","MEM_NULL","Crash","Network","","","0","","TP Bugs","accumulo","3055","Mem","Crash","Network"
"15","accumulo5--ACCUMULO-1565--test-release-1","SEM","SEM_Other (FuncImp)","Crash","Core","","Network","0","","TP Bugs","accumulo","1565","FuncImpl","Crash","Core"
"16","accumulo6--ACCUMULO-3150--test-release-2","SEM","SEM_MissCases","Other","Network","","","0","","TP Bugs","accumulo","3150","MissC","Other","Network"
"17","accumulo7--ACCUMULO-1730--test-release-1","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","accumulo","1730","FuncImpl","Incorrect","Core"
"18","bookkeeper1--BOOKKEEPER-294--test-release-1","SEM","SEM_Other (FuncImp)","Crash","Network","","","0","","TP Bugs","bookkeeper","294","FuncImpl","Crash","Network"
"19","bookkeeper2--BOOKKEEPER-324--test-release-1","CON","","Crash","Core","","","0","","TP Bugs","bookkeeper","324","Con","Crash","Core"
"20","bookkeeper4--BOOKKEEPER-583--test-release-2","SEM","SEM_Other (FuncImp)","Other","Core","","","0","","TP Bugs","bookkeeper","583","FuncImpl","Other","Core"
"21","bookkeeper7--BOOKKEEPER-337--test-release-1","SEM","SEM_Other (FuncImp)","Crash","Core","","","0","","TP Bugs","bookkeeper","337","FuncImpl","Crash","Core"
"22","bookkeeper9--BOOKKEEPER-326--test-release-1","CON","","Other","Network","","","0","","TP Bugs","bookkeeper","326","Con","Other","Network"
"23","camel0--CAMEL-6514--test-release-2","SEM","SEM_MissCases","Crash","Network","","","0","","TP Bugs","camel","6514","MissC","Crash","Network"
"24","camel11--CAMEL-5574--test-release-1","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Network","","","0","","TP Bugs","camel","5574","FuncImpl","Incorrect","Network"
"25","camel12--CAMEL-5704--test-release-1","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","camel","5704","FuncImpl","Incorrect","Core"
"26","camel13--CAMEL-6548--test-release-2","SEM","SEM_MissCases","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","camel","6548","MissC","Incorrect","Core"
"27","camel14--CAMEL-6404--test-release-2","SEM","SEM_CtrlFlow","Crash","Core","","","0","","TP Bugs","camel","6404","CtrlFlow","Crash","Core"
"28","camel16--CAMEL-5570--test-release-1","SEM","SEM_CtrlFlow","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","camel","5570","CtrlFlow","Incorrect","Core"
"29","camel17--CAMEL-5766--test-release-1","SEM","SEM_Other (FuncImp)","Crash","Network","","","0","","TP Bugs","camel","5766","FuncImpl","Crash","Network"
"30","camel18--CAMEL-6602--test-release-2","SEM","SEM_MissCases","Crash","Core","","","0","","TP Bugs","camel","6602","MissC","Crash","Core"
"31","camel2--CAMEL-6610--test-release-2","SEM","SEM_MissCases","Crash","Core","","","0","","TP Bugs","camel","6610","MissC","Crash","Core"
"32","camel3--CAMEL-5681--test-release-1","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","camel","5681","FuncImpl","Incorrect","Core"
"33","camel4--CAMEL-6385--test-release-2","SEM","SEM_MissCases","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","camel","6385","MissC","Incorrect","Core"
"34","camel7--CAMEL-5668--test-release-1","SEM","SEM_MissCases","Incorrect Functionality (Func)","Network","","","0","","TP Bugs","camel","5668","MissC","Incorrect","Network"
"35","camel8--CAMEL-6416--test-release-2","SEM","SEM_Exception","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","camel","6416","Except","Incorrect","Core"
"36","camel9--CAMEL-5796--test-release-1","SEM","SEM_MissCases","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","camel","5796","MissC","Incorrect","Core"
"37","cassandra10--CASSANDRA-5285--test-release-2","SEM","SEM_CtrlFlow","Crash","Core","","","0","","TP Bugs","cassandra","5285","CtrlFlow","Crash","Core"
"38","cassandra11--CASSANDRA-5127--test-release-2","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Network","","","0","","TP Bugs","cassandra","5127","FuncImpl","Incorrect","Network"
"39","cassandra12--CASSANDRA-5376--test-release-2","SEM","SEM_MissCases","Crash","GUI","","","0","","TP Bugs","cassandra","5376","MissC","Crash","UI"
"40","cassandra13--CASSANDRA-4291--test-release-1","SEM","SEM_Exception","Crash","GUI","","","0","","TP Bugs","cassandra","4291","Except","Crash","UI"
"41","cassandra16--CASSANDRA-5287--test-release-2","SEM","SEM_CtrlFlow","Crash","Core","","","0","","TP Bugs","cassandra","5287","CtrlFlow","Crash","Core"
"42","cassandra18--CASSANDRA-5216--test-release-2","SEM","SEM_CornerCases","Other","Network","","","0","","TP Bugs","cassandra","5216","CornerC","Other","Network"
"43","cassandra1--CASSANDRA-5197--test-release-2","SEM","SEM_MissCases","Crash","Core","","","0","","TP Bugs","cassandra","5197","MissC","Crash","Core"
"44","cassandra21--CASSANDRA-4192--test-release-1","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","GUI","","Core","0","","TP Bugs","cassandra","4192","FuncImpl","Incorrect","UI"
"45","cassandra22--CASSANDRA-4204--test-release-1","SEM","SEM_MissCases","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","4204","MissC","Incorrect","Core"
"46","cassandra23--CASSANDRA-5289--test-release-2","SEM","SEM_CtrlFlow","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","5289","CtrlFlow","Incorrect","Core"
"47","cassandra24--CASSANDRA-5099--test-release-2","SEM","SEM_CtrlFlow","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","5099","CtrlFlow","Incorrect","Core"
"48","cassandra25--CASSANDRA-4227--test-release-1","SEM","SEM_MissCases","Crash","Network","","","0","","TP Bugs","cassandra","4227","MissC","Crash","Network"
"49","cassandra29--CASSANDRA-4568--test-release-1","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","4568","FuncImpl","Incorrect","Core"
"50","cassandra2--CASSANDRA-3942--test-release-1","SEM","SEM_Process","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","3942","Process","Incorrect","Core"
"51","cassandra30--CASSANDRA-5368--test-release-2","SEM","SEM_Exception","Crash","Network","","","0","","TP Bugs","cassandra","5368","Except","Crash","Network"
"52","cassandra31--CASSANDRA-5236--test-release-2","SEM","SEM_Other (FuncImp)","Crash","Core","","","0","","TP Bugs","cassandra","5236","FuncImpl","Crash","Core"
"53","cassandra33--CASSANDRA-5230--test-release-2","SEM","SEM_MissCases","Incorrect Functionality (Func)","GUI","","","0","","TP Bugs","cassandra","5230","MissC","Incorrect","UI"
"54","cassandra36--CASSANDRA-5106--test-release-2","SEM","SEM_CtrlFlow","Crash","Core","","","0","","TP Bugs","cassandra","5106","CtrlFlow","Crash","Core"
"55","cassandra37--CASSANDRA-4353--test-release-1","SEM","SEM_Exception","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","4353","Except","Incorrect","Core"
"56","cassandra38--CASSANDRA-4462--test-release-1","SEM","SEM_Typo","Corrupt","Core","","","0","","TP Bugs","cassandra","4462","Typo","Corrupt","Core"
"57","cassandra39--CASSANDRA-4314--test-release-1","SEM","SEM_Other (FuncImp)","Crash","Core","","","0","","TP Bugs","cassandra","4314","FuncImpl","Crash","Core"
"58","cassandra3--CASSANDRA-4368--test-release-1","SEM","SEM_Other (FuncImp)","Crash","I/O","","Core","0","","TP Bugs","cassandra","4368","FuncImpl","Crash","I/O"
"59","cassandra40--CASSANDRA-5189--test-release-2","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","GUI","","","0","","TP Bugs","cassandra","5189","FuncImpl","Incorrect","UI"
"60","cassandra41--CASSANDRA-5465--test-release-2","SEM","SEM_MissFeatures","Crash","Core","","","0","","TP Bugs","cassandra","5465","MissF","Crash","Core"
"61","cassandra46--CASSANDRA-4230--test-release-1","SEM","SEM_Typo","Crash","Core","","","0","","TP Bugs","cassandra","4230","Typo","Crash","Core"
"62","cassandra49--CASSANDRA-4263--test-release-1","SEM","SEM_Typo","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","4263","Typo","Incorrect","Core"
"63","cassandra50--CASSANDRA-5137--test-release-2","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","5137","FuncImpl","Incorrect","Core"
"64","cassandra52--CASSANDRA-5144--test-release-2","SEM","SEM_MissFeatures","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","5144","MissF","Incorrect","Core"
"65","cassandra53--CASSANDRA-5299--test-release-2","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Network","","","0","","TP Bugs","cassandra","5299","FuncImpl","Incorrect","Network"
"66","cassandra55--CASSANDRA-4320--test-release-1","SEM","SEM_MissCases","Crash","Core","","","0","","TP Bugs","cassandra","4320","MissC","Crash","Core"
"67","cassandra61--CASSANDRA-5240--test-release-2","SEM","SEM_CtrlFlow","Incorrect Functionality (Func)","GUI","","","0","","TP Bugs","cassandra","5240","CtrlFlow","Incorrect","UI"
"68","cassandra63--CASSANDRA-5122--test-release-2","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","GUI","","","0","","TP Bugs","cassandra","5122","FuncImpl","Incorrect","UI"
"69","cassandra64--CASSANDRA-4313--test-release-1","SEM","SEM_CtrlFlow","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","4313","CtrlFlow","Incorrect","Core"
"70","cassandra65--CASSANDRA-5097--test-release-2","SEM","SEM_MissCases","Crash","Core","","","0","","TP Bugs","cassandra","5097","MissC","Crash","Core"
"71","cassandra7--CASSANDRA-5168--test-release-2","SEM","SEM_CtrlFlow","Crash","Core","","","0","","TP Bugs","cassandra","5168","CtrlFlow","Crash","Core"
"72","cassandra8--CASSANDRA-4181--test-release-1","SEM","SEM_Other (FuncImp)","Crash","Core","","","0","","TP Bugs","cassandra","4181","FuncImpl","Crash","Core"
"73","cassandra9--CASSANDRA-5242--test-release-2","SEM","SEM_MissCases","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","cassandra","5242","MissC","Incorrect","Core"
"74","CXF11--CXF-3576--test-release-2","SEM","SEM_Typo","Other","Core","","","0","","TP Bugs","CXF","3576","Typo","Other","Core"
"75","CXF12--CXF-3022--test-release-1","SEM","SEM_Other (FuncImp)","Crash","Core","","","0","","TP Bugs","CXF","3022","FuncImpl","Crash","Core"
"76","CXF13--CXF-3130--test-release-1","SEM","SEM_Exception","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","CXF","3130","Except","Incorrect","Core"
"77","CXF14--CXF-3135--test-release-1","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","CXF","3135","FuncImpl","Incorrect","Core"
"78","CXF15--CXF-3482--test-release-2","SEM","SEM_MissCases","Crash","Core","","","0","","TP Bugs","CXF","3482","MissC","Crash","Core"
"79","CXF16--CXF-3082--test-release-1","SEM","SEM_Other (FuncImp)","Crash","Network","","Core","0","","TP Bugs","CXF","3082","FuncImpl","Crash","Network"
"80","CXF17--CXF-3840--test-release-2","SEM","SEM_MissFeatures","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","CXF","3840","MissF","Incorrect","Core"
"81","CXF19--CXF-3090--test-release-1","SEM","SEM_CtrlFlow","Incorrect Functionality (Func)","Network","","","0","","TP Bugs","CXF","3090","CtrlFlow","Incorrect","Network"
"82","CXF1--CXF-3091--test-release-1","SEM","SEM_Other (FuncImp)","Crash","Network","","","0","","TP Bugs","CXF","3091","FuncImpl","Crash","Network"
"83","CXF20--CXF-2992--test-release-1","CON","","Perf Degradation","Core","","","0","","TP Bugs","CXF","2992","Con","Perf","Core"
"84","CXF22--CXF-3754--test-release-2","SEM","SEM_Other (FuncImp)","Incorrect Functionality (Func)","Core","","","","","TP Bugs","CXF","3754","FuncImpl","Incorrect","Core"
"85","CXF23--CXF-3088--test-release-1","SEM","SEM_MissCases","Incorrect Functionality (Func)","Core","","","0","","TP Bugs","CXF","3088","MissC","Incorrect","Core"
"86","CXF24--CXF-3181--test-release-1","SEM","SEM_MissCases","Crash","Core","","","0","","TP Bugs","CXF","3181","MissC","Crash","Core"
"87","CXF26--CXF-3871--test-release-2","MEM","MEM_NULL","Crash","Core","","","0","","TP Bugs","CXF","3871","Mem","Crash","Core"
"88","CXF27--CXF-3689--test-release-2","SEM","SEM_MissCases","Incorrect Functionality (Func)","Network","","","0","","TP Bugs","CXF","3689","MissC","Incorrect","Network"
