"project","release_id","FN","TP","TN","FP"
"accumulo",1,70,16,792,29
"accumulo",2,58,12,943,39
"bookkeeper",1,19,13,165,30
"bookkeeper",2,16,9,260,26
"camel",1,136,11,2388,35
"camel",2,97,16,2661,78
"cassandra",1,78,36,552,18
"cassandra",2,107,49,725,41
"cxf",1,48,43,2221,94
"cxf",2,149,21,2420,23
"derby",1,61,24,1395,78
"derby",2,118,12,1482,17
"felix",1,199,10,2363,5
"felix",2,85,69,3120,138
"hive",1,187,35,1998,26
"hive",2,156,54,2271,69
"openjpa",1,42,14,1405,28
"openjpa",2,29,6,1448,26
"pig",1,47,9,969,16
"pig",2,40,11,999,33
"wicket",1,110,3,1223,2
"wicket",2,86,21,1344,79
