"project","release_id","fn1","fn2","fn3","fn4","fn5","fn6"
"accumulo",1,3,7,6,2,8,54
"accumulo",2,3,5,11,18,29,0
"bookkeeper",1,0,4,2,1,1,15
"bookkeeper",2,1,1,2,1,4,9
"camel",1,5,6,11,11,14,100
"camel",2,3,5,10,18,9,60
"cassandra",1,3,6,6,7,12,53
"cassandra",2,9,6,10,14,17,66
"cxf",1,3,5,5,3,9,31
"cxf",2,9,8,5,10,9,125
"derby",1,5,3,3,10,3,45
"derby",2,6,2,10,6,11,91
"felix",1,2,7,11,18,9,161
"felix",2,17,10,11,17,3,54
"hive",1,9,14,20,19,13,135
"hive",2,8,10,10,4,8,134
"openjpa",1,3,5,4,3,4,31
"openjpa",2,0,4,2,6,1,20
"pig",1,1,3,1,6,4,36
"pig",2,2,2,1,7,5,27
"wicket",1,1,1,1,8,7,94
"wicket",2,5,6,10,22,8,46
