"project","release_id","fn1","fn2","fn3","fn4","fn5","fn6"
"accumulo",1,7,3,13,11,8,34
"accumulo",2,6,4,10,16,16,1
"bookkeeper",1,6,5,4,1,3,8
"bookkeeper",2,1,1,1,3,6,3
"camel",1,10,10,14,21,11,62
"camel",2,15,12,4,10,14,40
"cassandra",1,5,5,19,21,25,24
"cassandra",2,12,8,10,28,28,41
"cxf",1,11,2,5,7,8,14
"cxf",2,6,6,12,14,39,69
"derby",1,7,5,6,5,8,28
"derby",2,11,4,3,16,23,54
"felix",1,17,6,10,14,23,113
"felix",2,27,9,12,14,8,26
"hive",1,31,13,9,30,27,86
"hive",2,16,16,8,16,30,65
"openjpa",1,3,9,2,8,9,14
"openjpa",2,6,1,4,4,4,7
"pig",1,1,6,6,7,9,18
"pig",2,9,3,3,9,9,9
"wicket",1,3,1,6,12,18,63
"wicket",2,7,11,13,19,14,17
