"precision","recall","Fmeasure","AUC","FNrate","FN","TP","TN","FP","model","project","release.train","release.test"
0.212290502793296,0.441860465116279,0.286792452830189,0.732253632835736,0.558139534883721,48,38,680,141,"rf","accumulo",0,1
0.307692307692308,0.232558139534884,0.264900662251656,0.744292269778772,0.767441860465116,66,20,776,45,"glm","accumulo",0,1
0.218181818181818,0.418604651162791,0.286852589641434,0.715519927484916,0.581395348837209,50,36,692,129,"nb","accumulo",0,1
0.271739130434783,0.581395348837209,0.37037037037037,0.769849587853723,0.418604651162791,36,50,687,134,"rpart","accumulo",0,1
0.297872340425532,0.162790697674419,0.210526315789474,0.744363085290202,0.837209302325581,72,14,788,33,"lda","accumulo",0,1
0.290322580645161,0.209302325581395,0.243243243243243,0.745517378126505,0.790697674418605,68,18,777,44,"qda","accumulo",0,1
0.210526315789474,0.628571428571429,0.315412186379928,0.770715740471341,0.371428571428571,26,44,817,165,"rf","accumulo",1,2
0.342857142857143,0.342857142857143,0.342857142857143,0.654531568228106,0.657142857142857,46,24,936,46,"glm","accumulo",1,2
0.237037037037037,0.457142857142857,0.312195121951219,0.785016002327611,0.542857142857143,38,32,879,103,"nb","accumulo",1,2
0.210227272727273,0.528571428571429,0.300813008130081,0.70845941227815,0.471428571428571,33,37,843,139,"rpart","accumulo",1,2
0.425531914893617,0.285714285714286,0.341880341880342,0.654502473086994,0.714285714285714,50,20,955,27,"lda","accumulo",1,2
0.0684523809523809,0.985714285714286,0.128014842300557,0.636841722432354,0.0142857142857142,1,69,43,939,"qda","accumulo",1,2
0.25,0.5,0.333333333333333,0.699519230769231,0.5,16,16,147,48,"rf","bookkeeper",0,1
0.363636363636364,0.5,0.421052631578947,0.758894230769231,0.5,16,16,167,28,"glm","bookkeeper",0,1
0.25,0.4375,0.318181818181818,0.626201923076923,0.5625,18,14,153,42,"nb","bookkeeper",0,1
0.283783783783784,0.65625,0.39622641509434,0.714903846153846,0.34375,11,21,142,53,"rpart","bookkeeper",0,1
0.371428571428571,0.40625,0.388059701492537,0.642708333333333,0.59375,19,13,173,22,"lda","bookkeeper",0,1
0.283333333333333,0.53125,0.369565217391304,0.672195512820513,0.46875,15,17,152,43,"qda","bookkeeper",0,1
0.213333333333333,0.64,0.32,0.754545454545455,0.36,9,16,227,59,"rf","bookkeeper",1,2
0.272727272727273,0.48,0.347826086956522,0.793286713286713,0.52,13,12,254,32,"glm","bookkeeper",1,2
0.297297297297297,0.44,0.354838709677419,0.785174825174825,0.56,14,11,260,26,"nb","bookkeeper",1,2
0.158730158730159,0.8,0.264900662251656,0.739230769230769,0.2,5,20,180,106,"rpart","bookkeeper",1,2
0.289473684210526,0.44,0.349206349206349,0.794685314685315,0.56,14,11,259,27,"lda","bookkeeper",1,2
0.297872340425532,0.56,0.388888888888889,0.801608391608392,0.44,11,14,253,33,"qda","bookkeeper",1,2
0.14621409921671,0.380952380952381,0.211320754716981,0.692740488684124,0.619047619047619,91,56,2096,327,"rf","camel",0,1
0.273170731707317,0.380952380952381,0.318181818181818,0.802107636286046,0.619047619047619,91,56,2274,149,"glm","camel",0,1
0.224770642201835,0.333333333333333,0.268493150684931,0.789420266662175,0.666666666666667,98,49,2254,169,"nb","camel",0,1
0.148606811145511,0.326530612244898,0.204255319148936,0.696912524811823,0.673469387755102,99,48,2148,275,"rpart","camel",0,1
0.327272727272728,0.244897959183673,0.280155642023346,0.7982556621493,0.755102040816326,111,36,2349,74,"lda","camel",0,1
0.235807860262009,0.36734693877551,0.287234042553191,0.742139530182688,0.63265306122449,93,54,2248,175,"qda","camel",0,1
