"","project","major","minor","release","filename","filepath","shortpath","churn","la","ld","CC","LOC","num_pre","bfs","exp","num_bugs","num_post","priority","release_id"
"1","bookkeeper",4,1,"4.1.0","BenchBookie.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java","/apache/bookkeeper/benchmark/BenchBookie.java",0.0897196261682243,40,8,0.00546614029760097,0.010922885734842,1,0,0,0,0,0,0
"2","bookkeeper",4,1,"4.1.0","BenchReadThroughputLatency.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java","/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java",0,0,0,0.0109322805952019,0.0147818693178102,0,0,0,0,0,0,0
"3","bookkeeper",4,1,"4.1.0","BenchThroughputLatency.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java","/apache/bookkeeper/benchmark/BenchThroughputLatency.java",0.00560747663551402,2,1,0.0148800485879138,0.0236771535090588,1,0,0,0,0,0,0
"4","bookkeeper",4,1,"4.1.0","MySqlClient.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java","/apache/bookkeeper/benchmark/MySqlClient.java",0,0,0,0.00364409353173398,0.00562495912093662,0,0,0,0,0,0,0
"5","bookkeeper",4,1,"4.1.0","TestClient.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java","/apache/bookkeeper/benchmark/TestClient.java",0,0,0,0.0127543273610689,0.0192295114134345,0,0.104060913705584,0.0292397660818713,0.2,1,1,0
"6","bookkeeper",4,1,"4.1.0","Bookie.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java","/apache/bookkeeper/bookie/Bookie.java",0.650467289719626,194,154,0.0294564227148497,0.0339459742298384,7,0.215736040609137,0.247076023391813,0.6,3,8,0
"7","bookkeeper",4,1,"4.1.0","BookieBean.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieBean.java","/apache/bookkeeper/bookie/BookieBean.java",0,0,0,0.00121469784391133,0.0013081300281248,0,0,0,0,0,0,0
"8","bookkeeper",4,1,"4.1.0","BookieException.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java","/apache/bookkeeper/bookie/BookieException.java",0.117757009345794,58,5,0.00819921044640146,0.00699849565046766,1,0,0,0,0,0,0
"9","bookkeeper",4,1,"4.1.0","BookieMXBean.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java","/apache/bookkeeper/bookie/BookieMXBean.java",0,0,0,0,0.000261626005624959,0,0,0,0,0,0,0
"10","bookkeeper",4,1,"4.1.0","BufferedChannel.java","/home/kjbaron/Documents/NABATS/cloned_repos/bookkeeper-4.1.0/bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java","/apache/bookkeeper/bookie/BufferedChannel.java",0,0,0,0.00759186152444579,0.00784878016874877,0,0,0,0,0,0,0
