"","project","major","minor","release","filename","filepath","shortpath","churn","la","ld","CC","LOC","num_pre","bfs","exp","num_bugs","num_post","priority","release_id"
"1","cassandra",1,0,"1.0.0","CassandraServiceDataCleaner.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/contrib/javautils/src/main/java/org/apache/cassandra/contrib/utils/service/CassandraServiceDataCleaner.java","/contrib/utils/service/CassandraServiceDataCleaner.java",0,0,0,0.0166051660516605,0.0140524116976832,0,0,0,0,0,0,0
"2","cassandra",1,0,"1.0.0","CassandraStorage.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/contrib/pig/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java","/cassandra/hadoop/pig/CassandraStorage.java",0.011472275334608,3,3,0.162361623616236,0.197113558678314,1,0,0,0,0,0,0
"3","cassandra",1,0,"1.0.0","ClientOnlyExample.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/examples/client_only/src/ClientOnlyExample.java","/examples/client_only/src/ClientOnlyExample.java",0,0,0,0.0313653136531365,0.0501329282187619,0,0,0,0,0,0,0
"4","cassandra",1,0,"1.0.0","WordCount.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/examples/hadoop_word_count/src/WordCount.java","/examples/hadoop_word_count/src/WordCount.java",0,0,0,0.029520295202952,0.0558298518799848,0,0,0,0,0,0,0
"5","cassandra",1,0,"1.0.0","WordCountCounters.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/examples/hadoop_word_count/src/WordCountCounters.java","/examples/hadoop_word_count/src/WordCountCounters.java",0,0,0,0.00738007380073801,0.0243068742878845,0,0,0,0,0,0,0
"6","cassandra",1,0,"1.0.0","WordCountSetup.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/examples/hadoop_word_count/src/WordCountSetup.java","/examples/hadoop_word_count/src/WordCountSetup.java",0,0,0,0.022140221402214,0.0520319027725028,0,0,0,0,0,0,0
"7","cassandra",1,0,"1.0.0","SimpleAuthenticator.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/examples/simple_authentication/src/org/apache/cassandra/auth/SimpleAuthenticator.java","/apache/cassandra/auth/SimpleAuthenticator.java",0,0,0,0.033210332103321,0.0398784656285606,0,0,0,0,0,0,0
"8","cassandra",1,0,"1.0.0","SimpleAuthority.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/examples/simple_authentication/src/org/apache/cassandra/auth/SimpleAuthority.java","/apache/cassandra/auth/SimpleAuthority.java",0,0,0,0.03690036900369,0.0425370300037979,0,0,0,0,0,0,0
"9","cassandra",1,0,"1.0.0","AllowAllAuthenticator.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java","/apache/cassandra/auth/AllowAllAuthenticator.java",0,0,0,0.00553505535055351,0.00645651348271933,0,0,0,0,0,0,0
"10","cassandra",1,0,"1.0.0","AllowAllAuthority.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/auth/AllowAllAuthority.java","/apache/cassandra/auth/AllowAllAuthority.java",0,0,0,0.003690036900369,0.00455753892897835,0,0,0,0,0,0,0
"11","cassandra",1,0,"1.0.0","AuthenticatedUser.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/auth/AuthenticatedUser.java","/apache/cassandra/auth/AuthenticatedUser.java",0,0,0,0.00553505535055351,0.00797569312571212,0,0,0,0,0,0,0
"12","cassandra",1,0,"1.0.0","IAuthenticator.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/auth/IAuthenticator.java","/apache/cassandra/auth/IAuthenticator.java",0,0,0,0,0.00379794910748196,0,0,0,0,0,0,0
"13","cassandra",1,0,"1.0.0","IAuthority.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/auth/IAuthority.java","/apache/cassandra/auth/IAuthority.java",0,0,0,0,0.00265856437523737,0,0,0,0,0,0,0
"14","cassandra",1,0,"1.0.0","Permission.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/auth/Permission.java","/apache/cassandra/auth/Permission.java",0,0,0,0.003690036900369,0.00265856437523737,0,0,0,0,0,0,0
"15","cassandra",1,0,"1.0.0","Resources.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/auth/Resources.java","/apache/cassandra/auth/Resources.java",0,0,0,0.00553505535055351,0.00721610330421572,0,0,0,0,0,0,0
"16","cassandra",1,0,"1.0.0","AutoSavingCache.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/AutoSavingCache.java","/apache/cassandra/cache/AutoSavingCache.java",0.0516252390057361,14,13,0.0571955719557196,0.0827952905431067,2,0,0,0,0,0,0
"17","cassandra",1,0,"1.0.0","AutoSavingKeyCache.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/AutoSavingKeyCache.java","/apache/cassandra/cache/AutoSavingKeyCache.java",0,0,0,0.00738007380073801,0.00835548803646031,0,0,0,0,0,0,0
"18","cassandra",1,0,"1.0.0","AutoSavingRowCache.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/AutoSavingRowCache.java","/apache/cassandra/cache/AutoSavingRowCache.java",0,0,0,0.00738007380073801,0.00759589821496392,0,0,0,0,0,0,0
"19","cassandra",1,0,"1.0.0","ConcurrentLinkedHashCache.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/ConcurrentLinkedHashCache.java","/apache/cassandra/cache/ConcurrentLinkedHashCache.java",0,0,0,0.0239852398523985,0.0254462590201291,0,0,0,0,0,0,0
"20","cassandra",1,0,"1.0.0","ConcurrentLinkedHashCacheProvider.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/ConcurrentLinkedHashCacheProvider.java","/apache/cassandra/cache/ConcurrentLinkedHashCacheProvider.java",0,0,0,0.0018450184501845,0.00341815419673376,0,0,0,0,0,0,0
"21","cassandra",1,0,"1.0.0","FreeableMemory.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/FreeableMemory.java","/apache/cassandra/cache/FreeableMemory.java",0,0,0,0.018450184501845,0.0159513862514242,0,0,0,0,0,0,0
"22","cassandra",1,0,"1.0.0","ICache.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/ICache.java","/apache/cassandra/cache/ICache.java",0,0,0,0,0.00493733383972655,0,0,0,0,0,0,0
"23","cassandra",1,0,"1.0.0","IRowCacheProvider.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/IRowCacheProvider.java","/apache/cassandra/cache/IRowCacheProvider.java",0,0,0,0,0.00189897455374098,0,0,0,0,0,0,0
"24","cassandra",1,0,"1.0.0","InstrumentingCache.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/InstrumentingCache.java","/apache/cassandra/cache/InstrumentingCache.java",0,0,0,0.0387453874538745,0.0432966198252943,0,0,0,0,0,0,0
"25","cassandra",1,0,"1.0.0","InstrumentingCacheMBean.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/InstrumentingCacheMBean.java","/apache/cassandra/cache/InstrumentingCacheMBean.java",0,0,0,0,0.00303835928598557,0,0,0,0,0,0,0
"26","cassandra",1,0,"1.0.0","SerializingCache.java","/home/kjbaron/Documents/NABATS/cloned_repos/cassandra-1.0.0/src/java/org/apache/cassandra/cache/SerializingCache.java","/apache/cassandra/cache/SerializingCache.java",0,0,0,0.044280442804428,0.0516521078617546,0,0,0,0,0,0,0
