"","project","major","minor","release","filename","filepath","shortpath","churn","la","ld","CC","LOC","num_pre","bfs","exp","num_bugs","num_post","priority","release_id"
"1","derby",10,1,"10.1.1.0","ClassSizeCrawler.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/ClassSizeCrawler.java","/org/apache/derbyBuild/ClassSizeCrawler.java",0,0,0,0.0295169946332737,0.0323401706842342,0,0,0,0,0,0,0
"2","derby",10,1,"10.1.1.0","ODBCMetadataGenerator.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/ODBCMetadataGenerator.java","/org/apache/derbyBuild/ODBCMetadataGenerator.java",0,0,0,0.0903398926654741,0.0789040275490343,0,0,0,0,0,0,0
"3","derby",10,1,"10.1.1.0","classlister.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/classlister.java","/org/apache/derbyBuild/classlister.java",0,0,0,0.0966010733452594,0.0808504267105854,0,0,0,0,0,0,0
"4","derby",10,1,"10.1.1.0","DerbyEclipsePlugin.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java","/apache/derbyBuild/eclipse/DerbyEclipsePlugin.java",0,0,0,0.00447227191413238,0.0124270100314418,0,0,0,0,0,0,0
"5","derby",10,1,"10.1.1.0","DiskLayoutTaglet.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/javadoc/DiskLayoutTaglet.java","/apache/derbyBuild/javadoc/DiskLayoutTaglet.java",0,0,0,0.0134168157423971,0.00808504267105854,0,0,0,0,0,0,0
"6","derby",10,1,"10.1.1.0","EndFormatTaglet.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/javadoc/EndFormatTaglet.java","/apache/derbyBuild/javadoc/EndFormatTaglet.java",0,0,0,0.0134168157423971,0.00793531965863153,0,0,0,0,0,0,0
"7","derby",10,1,"10.1.1.0","FormatIdTaglet.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/javadoc/FormatIdTaglet.java","/apache/derbyBuild/javadoc/FormatIdTaglet.java",0,0,0,0.0134168157423971,0.00808504267105854,0,0,0,0,0,0,0
"8","derby",10,1,"10.1.1.0","PurposeTaglet.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/javadoc/PurposeTaglet.java","/apache/derbyBuild/javadoc/PurposeTaglet.java",0,0,0,0.0134168157423971,0.00808504267105854,0,0,0,0,0,0,0
"9","derby",10,1,"10.1.1.0","UpgradeTaglet.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/javadoc/UpgradeTaglet.java","/apache/derbyBuild/javadoc/UpgradeTaglet.java",0,0,0,0.0134168157423971,0.00808504267105854,0,0,0,0,0,0,0
"10","derby",10,1,"10.1.1.0","propertyconfig.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/propertyconfig.java","/org/apache/derbyBuild/propertyconfig.java",0,0,0,0.0214669051878354,0.0245545740380296,0,0,0,0,0,0,0
"11","derby",10,1,"10.1.1.0","splitmessages.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/build/org/apache/derbyBuild/splitmessages.java","/org/apache/derbyBuild/splitmessages.java",0,0,0,0.00536672629695885,0.0059889204970804,0,0,0,0,0,0,0
"12","derby",10,1,"10.1.1.0","ClientDataSourceFactory.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/ClientDataSourceFactory.java","/apache/derby/client/ClientDataSourceFactory.java",0,0,0,0.00447227191413238,0.00344362928582123,0,0,0,0,0,0,0
"13","derby",10,1,"10.1.1.0","ClientPooledConnection.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/ClientPooledConnection.java","/apache/derby/client/ClientPooledConnection.java",0,0,0,0.0232558139534884,0.0215601137894894,0,0,0,0,0,0,0
"14","derby",10,1,"10.1.1.0","ClientXAConnection.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/ClientXAConnection.java","/apache/derby/client/ClientXAConnection.java",0,0,0,0.0125223613595707,0.0116783949693068,0,0,0,0,0,0,0
"15","derby",10,1,"10.1.1.0","ClientXid.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/ClientXid.java","/apache/derby/client/ClientXid.java",0,0,0,0.0152057245080501,0.0128761790687229,0,0,0,0,0,0,0
"16","derby",10,1,"10.1.1.0","Agent.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/am/Agent.java","/derby/client/am/Agent.java",0,0,0,0.0438282647584973,0.0287468183859859,0,0,0,0,0,0,0
"17","derby",10,1,"10.1.1.0","AsciiStream.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/am/AsciiStream.java","/derby/client/am/AsciiStream.java",0,0,0,0.0035778175313059,0.0029944602485402,0,0,0,0,0,0,0
"18","derby",10,1,"10.1.1.0","BatchUpdateException.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/am/BatchUpdateException.java","/derby/client/am/BatchUpdateException.java",0,0,0,0.0134168157423971,0.00808504267105854,0,0,0,0,0,0,0
"19","derby",10,1,"10.1.1.0","Blob.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/am/Blob.java","/derby/client/am/Blob.java",0,0,0,0.0474060822898032,0.0335379547836503,0,0,0,0,0,0,0
"20","derby",10,1,"10.1.1.0","BlobOutputStream.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/am/BlobOutputStream.java","/derby/client/am/BlobOutputStream.java",0,0,0,0.00715563506261181,0.00524030543494535,0,0.00707213578500707,0.010221465076661,0.142857142857143,2,6,0
"21","derby",10,1,"10.1.1.0","CallableStatement.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/am/CallableStatement.java","/derby/client/am/CallableStatement.java",0,0,0,0.252236135957066,0.166342266806408,0,0,0,0,0,0,0
"22","derby",10,1,"10.1.1.0","Clob.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/am/Clob.java","/derby/client/am/Clob.java",0,0,0,0.0769230769230769,0.0558466836352747,0,0,0,0,0,0,0
"23","derby",10,1,"10.1.1.0","ClobOutputStream.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/am/ClobOutputStream.java","/derby/client/am/ClobOutputStream.java",0,0,0,0.00626118067978533,0.00539002844737236,0,0.0198019801980198,0.0255536626916525,0.285714285714286,2,6,0
"24","derby",10,1,"10.1.1.0","ClobWriter.java","/home/kjbaron/Documents/NABATS/cloned_repos/derby-10.1.1.0/java/client/org/apache/derby/client/am/ClobWriter.java","/derby/client/am/ClobWriter.java",0,0,0,0.00983899821109123,0.00913310375804761,0,0,0,0,0,0,0
