"","project","major","minor","release","filename","filepath","shortpath","churn","la","ld","CC","LOC","num_pre","bfs","exp","num_bugs","num_post","priority","release_id"
"1","felix",1,4,"1.4.0","Component.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/Component.java","/apache/felix/scr/Component.java",0,0,0,0,0.0253424657534247,0,0,0,0,0,0,0
"2","felix",1,4,"1.4.0","Reference.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/Reference.java","/apache/felix/scr/Reference.java",0,0,0,0,0.00821917808219178,0,0,0,0,0,0,0
"3","felix",1,4,"1.4.0","ScrService.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/ScrService.java","/apache/felix/scr/ScrService.java",0,0,0,0,0.00273972602739726,0,0,0,0,0,0,0
"4","felix",1,4,"1.4.0","Activator.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/impl/Activator.java","/felix/scr/impl/Activator.java",0,0,0,0.138339920948617,0.154794520547945,0,0,0,0,0,0,0
"5","felix",1,4,"1.4.0","BundleComponentActivator.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/impl/BundleComponentActivator.java","/felix/scr/impl/BundleComponentActivator.java",0,0,0,0.217391304347826,0.234931506849315,0,0,0,0,0,0,0
"6","felix",1,4,"1.4.0","ComponentActivatorTask.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/impl/ComponentActivatorTask.java","/felix/scr/impl/ComponentActivatorTask.java",0,0,0,0.0197628458498024,0.0219178082191781,0,0,0,0,0,0,0
"7","felix",1,4,"1.4.0","ComponentActorThread.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/impl/ComponentActorThread.java","/felix/scr/impl/ComponentActorThread.java",0,0,0,0.0434782608695652,0.0452054794520548,0,0,0,0,0,0,0
"8","felix",1,4,"1.4.0","ComponentRegistry.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/impl/ComponentRegistry.java","/felix/scr/impl/ComponentRegistry.java",0,0,0,0.110671936758893,0.124657534246575,0,0.177489177489178,0.118876941457587,0.142857142857143,1,3,0
"9","felix",1,4,"1.4.0","ScrCommand.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/impl/ScrCommand.java","/felix/scr/impl/ScrCommand.java",0,0,0,0.308300395256917,0.292465753424658,0,0,0,0,0,0,0
"10","felix",1,4,"1.4.0","AbstractComponentHolder.java","/home/kjbaron/Documents/NABATS/cloned_repos/felix.scr-1.4.0/org.apache.felix.scr-1.4.0/src/main/java/org/apache/felix/scr/impl/config/AbstractComponentHolder.java","/scr/impl/config/AbstractComponentHolder.java",0,0,0,0.0355731225296443,0.0363013698630137,0,0,0,0,0,0,0
