"","project","major","minor","release","filename","filepath","shortpath","churn","la","ld","CC","LOC","num_pre","bfs","exp","num_bugs","num_post","priority","release_id"
"1","openjpa",1,0,"1.0.0","Main.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-examples/src/main/java/hellojpa/Main.java","/main/java/hellojpa/Main.java",0.00198216055500496,1,1,0.00209205020920502,0.0055005500550055,1,0,0,0,0,0,0
"2","openjpa",1,0,"1.0.0","Message.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-examples/src/main/java/hellojpa/Message.java","/main/java/hellojpa/Message.java",0,0,0,0.00836820083682008,0.0088008800880088,0,0,0,0,0,0,0
"3","openjpa",1,0,"1.0.0","Deity.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-examples/src/main/java/relations/Deity.java","/main/java/relations/Deity.java",0,0,0,0.0198744769874477,0.0277777777777778,0,0,0,0,0,0,0
"4","openjpa",1,0,"1.0.0","Main.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-examples/src/main/java/relations/Main.java","/main/java/relations/Main.java",0.00991080277502478,5,5,0.00836820083682008,0.0214521452145215,1,0,0,0,0,0,0
"5","openjpa",1,0,"1.0.0","Main.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-examples/src/main/java/reversemapping/Main.java","/main/java/reversemapping/Main.java",0,0,0,0.00313807531380753,0.0176017601760176,0,0,0,0,0,0,0
"6","openjpa",1,0,"1.0.0","JDBC3SavepointManager.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java","/openjpa/jdbc/kernel/JDBC3SavepointManager.java",0,0,0,0.00418410041841004,0.00742574257425743,0,0,0,0,0,0,0
"7","openjpa",1,0,"1.0.0","EnumValueHandler.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java","/jdbc/meta/strats/EnumValueHandler.java",0,0,0,0.0135983263598326,0.0151265126512651,0,0,0,0,0,0,0
"8","openjpa",1,0,"1.0.0","XMLValueHandler.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/XMLValueHandler.java","/jdbc/meta/strats/XMLValueHandler.java",0.00396432111000991,2,2,0.00836820083682008,0.015951595159516,1,0,0,0,0,0,0
"9","openjpa",1,0,"1.0.0","MappingToolTask.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java","/openjpa/jdbc/ant/MappingToolTask.java",0.00792864222001982,6,2,0.0230125523012552,0.0288778877887789,2,0.0544554455445545,0.0850574712643678,0.25,3,6,0
"10","openjpa",1,0,"1.0.0","ReverseMappingToolTask.java","/home/kjbaron/Documents/NABATS/cloned_repos/openjpa-1.0.0/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java","/openjpa/jdbc/ant/ReverseMappingToolTask.java",0.0307234886025768,23,8,0.0345188284518828,0.0415291529152915,2,0,0,0,0,0,0
