project,id,bfs,exp,priority,cost
accumulo,ACCUMULO-2519,2,0.0,5.0,0.0
accumulo,ACCUMULO-2519,14,0.0,5.0,0.0
accumulo,ACCUMULO-2659,3,157.0,5.0,2355.0
accumulo,ACCUMULO-2659,23,247.0,5.0,28405.0
accumulo,ACCUMULO-2659,27,108.0,5.0,14580.0
accumulo,ACCUMULO-3218,2,157.0,5.0,1570.0
accumulo,ACCUMULO-3132,19,418.0,5.0,39710.0
accumulo,ACCUMULO-3132,13,418.0,5.0,27170.0
accumulo,ACCUMULO-3132,25,418.0,5.0,52250.0
accumulo,ACCUMULO-3312,2,157.0,5.0,1570.0
accumulo,ACCUMULO-2974,2,157.0,5.0,1570.0
accumulo,ACCUMULO-2974,26,157.0,5.0,20410.0
accumulo,ACCUMULO-3158,34,157.0,5.0,26690.0
accumulo,ACCUMULO-3038,55,418.0,5.0,114950.0
accumulo,ACCUMULO-3013,1,60.0,5.0,300.0
accumulo,ACCUMULO-3013,3,23.0,5.0,345.0
accumulo,ACCUMULO-2985,8,23.0,5.0,920.0
accumulo,ACCUMULO-2985,5,23.0,5.0,575.0
accumulo,ACCUMULO-3006,5,418.0,5.0,10450.0
accumulo,ACCUMULO-3006,23,418.0,5.0,48070.0
accumulo,ACCUMULO-3047,8,418.0,5.0,16720.0
accumulo,ACCUMULO-3007,5,247.0,5.0,6175.0
accumulo,ACCUMULO-3003,4,418.0,5.0,8360.0
accumulo,ACCUMULO-2719,4,418.0,5.0,8360.0
accumulo,ACCUMULO-2935,2,157.0,5.0,1570.0
accumulo,ACCUMULO-2935,2,157.0,5.0,1570.0
accumulo,ACCUMULO-2791,1,108.0,5.0,540.0
accumulo,ACCUMULO-2791,2,28.0,5.0,280.0
accumulo,ACCUMULO-2899,11,28.0,5.0,1540.0
accumulo,ACCUMULO-2566,27,0.0,5.0,0.0
accumulo,ACCUMULO-2566,5,0.0,5.0,0.0
accumulo,ACCUMULO-2700,8,108.0,5.0,4320.0
accumulo,ACCUMULO-2713,10,190.0,5.0,9500.0
accumulo,ACCUMULO-2713,1,190.0,5.0,950.0
accumulo,ACCUMULO-2668,6,1.0,5.0,30.0
accumulo,ACCUMULO-2651,1,108.0,5.0,540.0
accumulo,ACCUMULO-2651,2,108.0,5.0,1080.0
accumulo,ACCUMULO-2540,2,0.0,5.0,0.0
accumulo,ACCUMULO-2540,2,0.0,5.0,0.0
accumulo,ACCUMULO-2928,107,23.0,4.0,9844.0
accumulo,ACCUMULO-3301,21,157.0,4.0,13188.0
accumulo,ACCUMULO-3055,11,23.0,4.0,1012.0
accumulo,ACCUMULO-3055,16,23.0,4.0,1472.0
accumulo,ACCUMULO-3055,9,23.0,4.0,828.0
accumulo,ACCUMULO-3055,40,23.0,4.0,3680.0
accumulo,ACCUMULO-3215,5,157.0,4.0,3140.0
accumulo,ACCUMULO-3215,5,108.0,4.0,2160.0
accumulo,ACCUMULO-3215,23,157.0,4.0,14444.0
accumulo,ACCUMULO-3217,4,23.0,4.0,368.0
accumulo,ACCUMULO-3217,14,23.0,4.0,1288.0
accumulo,ACCUMULO-3143,2,10.0,4.0,80.0
accumulo,ACCUMULO-2694,1,402.0,4.0,1608.0
accumulo,ACCUMULO-2694,10,23.0,4.0,920.0
accumulo,ACCUMULO-2694,9,0.0,4.0,0.0
accumulo,ACCUMULO-2694,8,0.0,4.0,0.0
accumulo,ACCUMULO-2694,4,0.0,4.0,0.0
accumulo,ACCUMULO-2967,3,60.0,4.0,720.0
accumulo,ACCUMULO-2967,3,402.0,4.0,4824.0
accumulo,ACCUMULO-2967,14,0.0,4.0,0.0
accumulo,ACCUMULO-2962,16,23.0,4.0,1472.0
accumulo,ACCUMULO-2767,4,23.0,4.0,368.0
accumulo,ACCUMULO-2767,66,23.0,4.0,6072.0
accumulo,ACCUMULO-2796,8,0.0,4.0,0.0
accumulo,ACCUMULO-2888,1,402.0,4.0,1608.0
accumulo,ACCUMULO-2766,60,201.0,4.0,48240.0
accumulo,ACCUMULO-2748,4,0.0,4.0,0.0
accumulo,ACCUMULO-2520,2,84.0,4.0,672.0
accumulo,ACCUMULO-2520,17,84.0,4.0,5712.0
accumulo,ACCUMULO-2520,48,84.0,4.0,16128.0
accumulo,ACCUMULO-2487,128,108.0,4.0,55296.0
accumulo,ACCUMULO-2487,6,418.0,4.0,10032.0
accumulo,ACCUMULO-2487,54,28.0,4.0,6048.0
accumulo,ACCUMULO-2489,1,23.0,4.0,92.0
accumulo,ACCUMULO-2489,24,23.0,4.0,2208.0
accumulo,ACCUMULO-2489,1,23.0,4.0,92.0
accumulo,ACCUMULO-2513,24,1.0,4.0,96.0
accumulo,ACCUMULO-3182,2,418.0,3.0,2508.0
accumulo,ACCUMULO-3182,4,108.0,3.0,1296.0
accumulo,ACCUMULO-3182,3,157.0,3.0,1413.0
accumulo,ACCUMULO-3182,10,108.0,3.0,3240.0
accumulo,ACCUMULO-3182,66,157.0,3.0,31086.0
accumulo,ACCUMULO-3102,2,0.0,3.0,0.0
accumulo,ACCUMULO-3101,4,0.0,3.0,0.0
accumulo,ACCUMULO-3011,9,418.0,3.0,11286.0
accumulo,ACCUMULO-3008,3,23.0,3.0,207.0
accumulo,ACCUMULO-3008,6,23.0,3.0,414.0
accumulo,ACCUMULO-3008,2,23.0,3.0,138.0
accumulo,ACCUMULO-3008,2,23.0,3.0,138.0
accumulo,ACCUMULO-3213,8,157.0,3.0,3768.0
accumulo,ACCUMULO-3213,1,157.0,3.0,471.0
accumulo,ACCUMULO-3213,7,157.0,3.0,3297.0
accumulo,ACCUMULO-3213,3,157.0,3.0,1413.0
accumulo,ACCUMULO-3213,28,157.0,3.0,13188.0
accumulo,ACCUMULO-3213,156,157.0,3.0,73476.0
accumulo,ACCUMULO-3213,6,157.0,3.0,2826.0
accumulo,ACCUMULO-3213,1,157.0,3.0,471.0
accumulo,ACCUMULO-3213,30,157.0,3.0,14130.0
accumulo,ACCUMULO-3111,28,87.0,3.0,7308.0
accumulo,ACCUMULO-3100,1,418.0,3.0,1254.0
accumulo,ACCUMULO-3100,2,157.0,3.0,942.0
accumulo,ACCUMULO-3242,4,157.0,3.0,1884.0
accumulo,ACCUMULO-3242,2,157.0,3.0,942.0
accumulo,ACCUMULO-3242,1,157.0,3.0,471.0
accumulo,ACCUMULO-3242,16,157.0,3.0,7536.0
accumulo,ACCUMULO-3242,27,157.0,3.0,12717.0
accumulo,ACCUMULO-3242,35,157.0,3.0,16485.0
accumulo,ACCUMULO-3242,20,157.0,3.0,9420.0
accumulo,ACCUMULO-3242,20,157.0,3.0,9420.0
accumulo,ACCUMULO-3181,4,0.0,3.0,0.0
accumulo,ACCUMULO-3120,7,2.0,3.0,42.0
