,id,exp,priority,bfs,project,norm_exp,norm_priority,norm_bfs,cost
0,ACCUMULO-1005,61.0,3.0,99,accumulo,0.1435406698564593,0.5,0.02244103503549347,1.210128889467517
1,ACCUMULO-1005,61.0,3.0,99,accumulo,0.1435406698564593,0.5,0.02244103503549347,1.210128889467517
2,ACCUMULO-1010,161.8,5.0,151,accumulo,0.384688995215311,1.0,0.03434852301351042,6.4426767348001555
3,ACCUMULO-1010,161.8,5.0,151,accumulo,0.384688995215311,1.0,0.03434852301351042,6.4426767348001555
4,ACCUMULO-1010,161.8,5.0,151,accumulo,0.384688995215311,1.0,0.03434852301351042,6.4426767348001555
5,ACCUMULO-1010,161.8,5.0,151,accumulo,0.384688995215311,1.0,0.03434852301351042,6.4426767348001555
6,ACCUMULO-1010,161.8,5.0,151,accumulo,0.384688995215311,1.0,0.03434852301351042,6.4426767348001555
7,ACCUMULO-1018,248.0,3.0,54,accumulo,0.5909090909090909,0.5,0.012136478131440349,2.673805494076292
8,ACCUMULO-1023,108.0,3.0,9,accumulo,0.25598086124401914,0.5,0.0018319212273872224,0.21221195156880612
9,ACCUMULO-1032,403.0,5.0,44,accumulo,0.9617224880382775,1.0,0.00984657659720632,4.7331076682723605
10,ACCUMULO-1033,403.0,3.0,15,accumulo,0.9617224880382775,0.5,0.0032058621479276387,1.2616846764744174
11,ACCUMULO-1034,202.0,2.0,2,accumulo,0.4808612440191387,0.25,0.0002289901534234028,0.09845723213123289
12,ACCUMULO-1035,108.0,3.0,2,accumulo,0.25598086124401914,0.5,0.0002289901534234028,0.06320791563598491
13,ACCUMULO-1036,403.0,3.0,4,accumulo,0.9617224880382775,0.5,0.0006869704602702084,0.3938289285249317
14,ACCUMULO-1036,403.0,3.0,4,accumulo,0.9617224880382775,0.5,0.0006869704602702084,0.3938289285249317
15,ACCUMULO-1037,403.0,3.0,6,accumulo,0.9617224880382775,0.5,0.001144950767117014,0.5516208826975655
16,ACCUMULO-1037,403.0,3.0,6,accumulo,0.9617224880382775,0.5,0.001144950767117014,0.5516208826975655
17,ACCUMULO-1038,403.0,4.0,4,accumulo,0.9617224880382775,0.75,0.0006869704602702084,0.4595755760968624
18,ACCUMULO-1039,202.0,2.0,18,accumulo,0.4808612440191387,0.25,0.0038928326081978473,0.6270342403332899
19,ACCUMULO-1039,202.0,2.0,18,accumulo,0.4808612440191387,0.25,0.0038928326081978473,0.6270342403332899
20,ACCUMULO-1040,202.0,4.0,12,accumulo,0.4808612440191387,0.75,0.0025188916876574307,0.6006053899231871
21,ACCUMULO-1040,202.0,4.0,12,accumulo,0.4808612440191387,0.75,0.0025188916876574307,0.6006053899231871
22,ACCUMULO-1042,31.0,2.0,51,accumulo,0.07177033492822966,0.25,0.01144950767117014,0.27014711626090354
23,ACCUMULO-1044,313.6666666666667,4.0,174,accumulo,0.748006379585327,0.75,0.039615296542248685,12.54545849064792
24,ACCUMULO-1044,313.6666666666667,4.0,174,accumulo,0.748006379585327,0.75,0.039615296542248685,12.54545849064792
25,ACCUMULO-1044,313.6666666666667,4.0,174,accumulo,0.748006379585327,0.75,0.039615296542248685,12.54545849064792
26,ACCUMULO-1044,313.6666666666667,4.0,174,accumulo,0.748006379585327,0.75,0.039615296542248685,12.54545849064792
27,ACCUMULO-1044,313.6666666666667,4.0,174,accumulo,0.748006379585327,0.75,0.039615296542248685,12.54545849064792
28,ACCUMULO-1044,313.6666666666667,4.0,174,accumulo,0.748006379585327,0.75,0.039615296542248685,12.54545849064792
29,ACCUMULO-1044,313.6666666666667,4.0,174,accumulo,0.748006379585327,0.75,0.039615296542248685,12.54545849064792
30,ACCUMULO-1044,313.6666666666667,4.0,174,accumulo,0.748006379585327,0.75,0.039615296542248685,12.54545849064792
31,ACCUMULO-1044,313.6666666666667,4.0,174,accumulo,0.748006379585327,0.75,0.039615296542248685,12.54545849064792
32,ACCUMULO-1046,403.0,4.0,2,accumulo,0.9617224880382775,0.75,0.0002289901534234028,0.2754849628954563
