,num,harold_LOC,kilby_LOC,harold_avg_numbugs_LOC,kilby_avg_numbugs_LOC,harold_CC,kilby_CC,harold_avg_bfs_CC,harold_avg_bfs_LOC,harold_avg_bfs_churn,harold_avg_exp_CC,harold_avg_exp_LOC,harold_avg_exp_churn,harold_avg_numbugs_CC,harold_avg_numbugs_churn,harold_churn,kilby_avg_bfs_CC,kilby_avg_bfs_LOC,kilby_avg_bfs_churn,kilby_avg_exp_CC,kilby_avg_exp_LOC,kilby_avg_exp_churn,kilby_avg_numbugs_CC,kilby_avg_numbugs_churn,kilby_churn
0,0.0,13.0,1254.0,0.0,5.316321105794792e-05,1386.0,7855.0,5.783354240704516e-05,0.0,0.0003528493495344943,0.0011184921826676304,0.0,0.007456756168241147,0.0009740259740259741,0.0022435821179605524,42031.0,1.0368569804032435e-05,7.026859467629067e-07,0.00010018818417780672,0.00042515677928493237,0.0,0.0014277864493718873,0.000560152768936983,0.001690877346887874,77514.0
1,1.0,0.0,120.0,,0.0,0.0,0.0,,,0.000862149842613172,,,0.02678097455657545,,0.009090909090909092,187.0,,0.0,,,0.0,,,,0.0
2,2.0,0.0,1043.0,,0.0003195909236177694,0.0,6781.0,,,0.0006916312617330305,,,0.01925746999085387,,0.008667621776504299,698.0,9.040573499825425e-06,8.569091985219647e-06,,0.000262520863848808,3.813766795951991e-05,,0.00026544757410411444,,0.0
3,3.0,0.0,989.0,,0.0001348163127738457,4267.0,0.0,2.870975795760058e-05,,0.0009847170152918162,0.0015276020208362332,,0.02204506059006683,0.00044527771267869703,0.00967153284671533,274.0,,8.909688344192971e-07,0.00014606059208351603,,0.00021537165449542878,0.0067830533045142,,0.008142493638676845,131.0
4,4.0,22.0,2237.0,0.0,0.00026821636119803323,0.0,0.0,,0.0,0.0010851805316415117,,0.0,0.02367423584929561,,0.008012820512820514,468.0,,8.21575795881857e-06,,,0.0002523849421025114,,,,0.0
5,5.0,4.0,1172.0,0.0,5.688282138794087e-05,0.0,6753.0,,0.0,0.001097513121106587,,0.0,0.024751904625990733,,0.008108108108108109,296.0,1.1482718731997676e-05,1.9333285214934558e-06,,0.00031203063188847246,1.9159632952524998e-05,,0.00034552544548102084,,0.0
6,6.0,2.0,3509.0,0.0,0.0001899876508026979,0.0,0.0,,0.0,0.0010103746241568925,,0.0,0.03258783256746002,,0.011044776119402985,335.0,,3.802622920144632e-06,0.00023939900733707377,,0.00013804171163433806,0.006469204448246362,,0.007976190476190474,560.0
7,7.0,3.0,1070.0,0.0,0.00031152647975077894,4128.0,0.0,3.861607038178177e-05,0.0,0.0009361834919644254,0.0017894083086165528,0.0,0.045036286088515384,0.00041182170542635664,0.01266968325791855,221.0,,1.7646892735127183e-05,,,0.0006103946979205804,,,,0.0
8,8.0,10.0,2299.0,0.0,0.00023198492098013639,0.0,6861.0,,0.0,0.0010319917440660476,,0.0,0.02336893327599137,,0.010084033613445377,238.0,2.678713096323733e-05,4.325625178774256e-06,,0.0008563359258121899,0.0002547877587272479,,0.0007967740368265074,,0.0
9,9.0,1.0,1128.0,0.0,0.0003546099290780143,0.0,0.0,,0.0,,,0.0,,,,0.0,,8.034968181526006e-06,0.00030104600125406176,,0.0002540511681803562,0.009082912342431049,,0.008805031446540879,212.0
10,10.0,0.0,1965.0,,0.0003731976251060222,0.0,6539.0,,,0.0014156694028086146,,,0.033728236023427366,,0.010659898477157363,197.0,1.815353136429698e-05,7.879584572926517e-06,,0.0004637242021320779,0.00031017572270943336,,0.0007544476729367384,,0.0
11,11.0,90.0,1058.0,0.0,0.0004410838059231256,3367.0,0.0,6.692837908808873e-05,0.0,0.0016848437561838858,0.0043853585689491385,0.0,0.03076418887969281,0.000994950994950995,0.009579439252336447,214.0,,3.8073699259656936e-06,,,0.0002603488674824261,,,,0.0
12,12.0,30.0,2196.0,0.0,0.0007285974499089255,0.0,0.0,,0.0,0.001389858377154203,,0.0,0.03220646128850965,,0.011282051282051283,195.0,,1.5419869872348695e-05,,,0.0012357213753601307,,,,0.0
13,13.0,10.0,948.0,0.0,0.00035161744022503533,0.0,5221.0,,0.0,0.001338636392889781,,0.0,0.02401322801619942,,0.009574468085106383,188.0,4.366420141141217e-05,9.826167136198125e-06,0.00014522045379106266,0.0008665734173156401,0.0005396079450502251,0.00427775733449302,0.0009193641064930092,0.006331471135940411,358.0
14,14.0,12.0,2169.0,0.0,0.0011065006915629324,0.0,0.0,,0.0,0.002342566711265959,,0.0,0.04935358075348508,,0.011678832116788322,137.0,,2.9366468924704378e-05,,,0.0007446083923833813,,,,0.0
15,15.0,26.0,1045.0,0.0,0.0005103668261563,3157.0,0.0,4.512772871853921e-05,0.0,0.000977244171436548,0.0029447281928905037,0.0,0.036853885351042136,0.0007285397529299967,0.012237762237762238,143.0,,5.902561952808422e-06,,,0.0005922536335394821,,,,0.0
16,16.0,84.0,2095.0,0.0005952380952380953,0.0006046141607000797,0.0,4417.0,,7.562008469449488e-05,0.0015808461501097314,,0.0004448570654906964,0.03710165809847196,,0.009854014598540147,137.0,2.9268725315378367e-05,7.090204221916182e-06,0.00021964979345212427,0.0008870967273383628,0.0006354491834605583,0.012257554861123225,0.0009810580333559729,0.010884353741496596,196.0
17,17.0,47.0,967.0,0.0,0.0008273009307135465,0.0,0.0,,0.0,0.0019410968502874659,,0.0,0.0388222322223454,,0.013669064748201442,139.0,,2.7727703021460444e-05,,,0.0006340546857238388,,,,0.0
18,18.0,99.0,1879.0,0.000505050505050505,0.0007095973035302465,0.0,0.0,,9.471606567795311e-05,0.0012206286237412271,,0.0008205532169788868,0.01903505555834886,,0.008407079646017699,113.0,,2.4251720532283735e-05,,,0.0009114288718996281,,,,0.0
19,19.0,194.0,990.0,0.0,0.0004713804713804716,2644.0,3518.0,0.0001765231326529585,0.0,,0.005354919742260883,0.0,,0.0012481089258698942,,0.0,5.7895318394194304e-05,1.8691446183893317e-05,0.00025852610061475093,0.001312995709223152,0.0007145881397378401,0.0056905379007443505,0.00132651127534584,0.007761194029850747,335.0
20,20.0,788.0,1876.0,6.34517766497462e-05,0.0009950248756218907,0.0,0.0,,9.596457448539962e-06,0.0009729031792037993,,0.00016700548850136294,0.033981190715793516,,0.008208955223880599,134.0,,2.4223401765449822e-05,,,0.0009603090498868236,,,,0.0
21,21.0,389.0,884.0,0.00012853470437017997,0.0010558069381598797,0.0,3268.0,,2.0217194879762135e-05,0.0009208251021205752,,0.0017562581052042467,0.03194036073988339,,0.013716814159292035,113.0,6.378800933338757e-05,0.00010210044975461719,,0.0011105826465620944,0.0009212344541685859,,0.0011015911872705017,,0.0
22,22.0,271.0,1854.0,0.0007380073800738008,0.0008270406328658756,2419.0,0.0,0.00010628701445278318,1.3393963340722355e-05,0.0022224614722076972,0.004318304621314673,0.0012679818106060825,0.020099868280344633,0.0012401818933443572,0.014830508474576272,118.0,,1.7992723606779286e-05,0.00042878272910372623,,0.000928794283831782,0.01563001229683489,,0.012499999999999995,128.0
23,23.0,334.0,960.0,0.0,0.0005555555555555558,0.0,0.0,,0.0,0.00335703589102774,,0.0,0.04922749286421609,,0.015573770491803278,122.0,,1.1145728432359852e-05,,,0.0009086737239806098,,,,0.0
24,24.0,869.0,1590.0,0.00017261219792865366,0.00037735849056603793,0.0,2386.0,,6.265415532800493e-06,0.0009329130448626105,,0.00021874494619715697,0.039599811877378266,,0.012105263157894735,95.0,7.143466123721035e-05,1.2271434633630383e-05,,0.0009165598870514266,0.00046134146800738213,,0.0012293936853869797,,0.0
25,25.0,360.0,765.0,0.0001388888888888889,0.0007843137254901959,0.0,0.0,,2.5206694898164945e-06,0.003666207479646354,,0.00045356079068508055,0.05904283258134047,,0.02108433734939759,83.0,,2.122702051616215e-05,,,0.0005512783955897723,,,,0.0
26,26.0,470.0,1627.0,0.00042553191489361707,0.0010243802499487807,2119.0,0.0,0.00024595263035132557,8.881337606672582e-05,0.00216389780818093,0.008854359746197896,0.004950135679347357,0.02926129591441882,0.0019820670127418593,0.013247863247863248,117.0,,2.8394830191178446e-05,0.0007406618111009435,,0.000825857285341512,0.015641804713039834,,0.01908713692946058,241.0
27,27.0,388.0,721.0,0.0002577319587628866,0.0009246417013407303,0.0,2337.0,,9.355062024061206e-06,0.0007944263842630445,,0.0006406659576071744,0.018398336026280777,,0.008791208791208791,91.0,6.8892603379842e-05,2.3395390479542677e-05,,0.0011983185655097283,0.0010271709404650188,,0.001568963058051633,,0.0
28,28.0,948.0,1478.0,0.00031645569620253165,0.0009923319801533603,0.0,0.0,,3.0311848295261728e-05,,,0.002622563385398994,,,,0.0,,3.985953092486376e-05,,,0.000602361872041727,,,,0.0
29,29.0,491.0,663.0,0.00020366598778004074,0.0015082956259426855,0.0,1863.0,,5.421236214350745e-05,0.0024104876481997753,,0.00017206549739337313,0.07432702158723527,,0.017010309278350517,97.0,9.90562493547154e-05,9.948979204355074e-05,0.0003833653758125062,0.0012564013909149728,0.0016998969094777455,0.016577235140109402,0.0020039363034532113,0.011111111111111113,132.0
30,30.0,450.0,1460.0,0.0003333333333333334,0.0006392694063926944,1946.0,0.0,0.00022118680476930364,1.949317738791424e-05,0.0008867231849107893,0.004872833774293954,0.0024027439299575772,0.036255188453534815,0.0016957862281603289,0.006164383561643836,73.0,,1.4140076425388685e-05,,,0.0007102722148657677,,,,0.0
31,31.0,522.0,687.0,0.0,0.0008733624454148475,0.0,0.0,,0.0,0.0011784129864892113,,0.0,0.022455208051268456,,0.012500000000000002,96.0,,3.408136430999533e-05,,,0.0005460071746712446,,,,0.0
32,32.0,944.0,1292.0,0.00026483050847457627,0.0010835913312693497,0.0,1611.0,,1.0894418981410282e-05,0.0016309412861137012,,0.0012099161491966014,0.03439743561595714,,0.01554054054054054,74.0,7.243441520813296e-05,4.715672244410565e-05,0.000596824832652094,0.0024003602266071725,0.0007079494262249496,0.009228601620288827,0.0026484585143803016,0.012941176470588225,170.0
