,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
0,accumulo,/apache/accumulo/core/Constants.java,1.4.0,184,120.0,6,6.0,2,4.0,16,0,0,0,1,2.0,101.0,84.0,1,2.0
1,accumulo,/accumulo/core/bloomfilter/BloomFilter.java,1.4.0,245,123.0,27,27.0,0,0.0,7,7,1,1,0,0.0,0.0,0.0,0,0.0
2,accumulo,/accumulo/core/bloomfilter/DynamicBloomFilter.java,1.4.0,285,136.0,34,34.0,0,0.0,9,9,1,1,0,0.0,0.0,0.0,0,0.0
3,accumulo,/accumulo/core/bloomfilter/Filter.java,1.4.0,245,82.0,23,17.0,0,0.0,3,3,1,1,0,0.0,0.0,0.0,0,0.0
4,accumulo,/accumulo/core/client/AccumuloException.java,1.4.0,53,13.0,3,3.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
5,accumulo,/accumulo/core/client/AccumuloSecurityException.java,1.4.0,104,51.0,17,17.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
6,accumulo,/accumulo/core/client/BatchDeleter.java,1.4.0,51,8.0,3,0.0,0,0.0,31,0,0,0,0,0.0,0.0,0.0,0,0.0
7,accumulo,/accumulo/core/client/BatchScanner.java,1.4.0,47,7.0,2,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
8,accumulo,/accumulo/core/client/BatchWriter.java,1.4.0,63,8.0,4,0.0,0,0.0,4,0,0,0,0,0.0,0.0,0.0,0,0.0
9,accumulo,/accumulo/core/client/ClientSideIteratorScanner.java,1.4.0,249,168.0,32,32.0,0,0.0,47,0,0,0,0,0.0,0.0,0.0,0,0.0
10,accumulo,/accumulo/core/client/Connector.java,1.4.0,207,45.0,12,12.0,0,0.0,54,0,2,0,0,0.0,0.0,0.0,0,0.0
11,accumulo,/accumulo/core/client/Instance.java,1.4.0,144,19.0,12,0.0,0,0.0,45,0,0,0,0,0.0,0.0,0.0,0,0.0
12,accumulo,/accumulo/core/client/IsolatedScanner.java,1.4.0,273,193.0,35,31.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
13,accumulo,/accumulo/core/client/IteratorSetting.java,1.4.0,300,115.0,25,25.0,0,0.0,411,152,1,4,0,0.0,0.0,0.0,0,0.0
14,accumulo,/accumulo/core/client/MultiTableBatchWriter.java,1.4.0,64,7.0,4,0.0,0,0.0,6,0,0,0,0,0.0,0.0,0.0,0,0.0
15,accumulo,/accumulo/core/client/MutationsRejectedException.java,1.4.0,88,34.0,5,5.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
16,accumulo,/accumulo/core/client/RowIterator.java,1.4.0,164,86.0,21,21.0,0,0.0,12,0,0,0,0,0.0,0.0,0.0,0,0.0
17,accumulo,/accumulo/core/client/Scanner.java,1.4.0,84,12.0,8,0.0,0,0.0,24,0,0,0,0,0.0,0.0,0.0,0,0.0
18,accumulo,/accumulo/core/client/ScannerBase.java,1.4.0,185,24.0,15,0.0,0,0.0,76,19,2,2,0,0.0,0.0,0.0,0,0.0
