,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
0,accumulo,/apache/accumulo/core/Constants.java,1.4.0,184,120.0,6,6.0,2,2.0,16,16,0,1,1,1.0,101.0,84.0,1,1.0
1,accumulo,/core/client/admin/TableOperationsImpl.java,1.4.0,1075,673.0,148,148.0,23,23.0,20,16,0,1,3,3.0,113.333333333,287.0,3,3.0
2,accumulo,/core/client/impl/MasterClient.java,1.4.0,121,89.0,20,20.0,58,58.0,0,16,0,1,2,2.0,117.0,203.0,2,2.0
3,accumulo,/core/client/impl/MetadataLocationObtainer.java,1.4.0,170,122.0,19,19.0,20,20.0,0,16,0,1,1,1.0,114.0,84.0,1,1.0
4,accumulo,/core/client/impl/OfflineScanner.java,1.4.0,408,282.0,47,47.0,2,7.0,816,0,0,0,1,2.0,55.0,132.0,1,2.0
5,accumulo,/core/client/impl/ScannerOptions.java,1.4.0,282,175.0,39,39.0,2,0.0,48,35,1,2,1,0.0,154.0,0.0,1,0.0
6,accumulo,/core/client/impl/TabletLocator.java,1.4.0,206,143.0,31,24.0,19,19.0,0,16,0,1,1,1.0,114.0,84.0,1,1.0
7,accumulo,/core/client/impl/TabletLocatorImpl.java,1.4.0,610,439.0,95,93.0,21,21.0,0,16,0,1,1,1.0,114.0,84.0,1,1.0
8,accumulo,/core/client/impl/TabletServerBatchReaderIterator.java,1.4.0,600,462.0,90,89.0,5,0.0,4,20,1,3,1,0.0,90.0,0.0,1,0.0
9,accumulo,/core/client/mapreduce/AccumuloOutputFormat.java,1.4.0,527,330.0,83,83.0,54,52.0,372,528,1,4,2,1.0,117.0,84.0,2,1.0
10,accumulo,/core/client/mapreduce/InputFormatBase.java,1.4.0,1570,877.0,207,207.0,107,107.0,932,278,1,3,2,2.0,102.5,168.0,2,2.0
11,accumulo,/core/client/mock/MockBatchScanner.java,1.4.0,89,59.0,11,11.0,20,0.0,30,46,2,4,1,0.0,153.0,0.0,1,0.0
12,accumulo,/core/client/mock/MockConnector.java,1.4.0,101,69.0,13,13.0,10,10.0,8,24,3,5,1,1.0,112.0,84.0,1,1.0
13,accumulo,/core/client/mock/MockInstance.java,1.4.0,123,88.0,16,16.0,2,2.0,16,32,1,3,1,1.0,112.0,84.0,1,1.0
14,accumulo,/core/client/mock/MockTable.java,1.4.0,127,94.0,20,20.0,4,4.0,13,24,1,3,1,1.0,116.0,84.0,1,1.0
15,accumulo,/accumulo/core/conf/Property.java,1.4.0,368,316.0,19,19.0,8,6.0,86,70,5,9,3,2.0,92.0,168.0,3,2.0
16,accumulo,/accumulo/core/data/ArrayByteSequence.java,1.4.0,104,66.0,16,16.0,5,0.0,0,16,0,1,1,0.0,152.0,0.0,1,0.0
17,accumulo,/accumulo/core/iterators/FirstEntryInRowIterator.java,1.4.0,141,86.0,18,18.0,35,35.0,0,16,0,1,3,3.0,24.6666666667,58.0,2,3.0
18,accumulo,/accumulo/core/iterators/IteratorUtil.java,1.4.0,275,199.0,45,45.0,21,21.0,46,24,1,5,2,2.0,61.5,89.0,2,2.0
19,accumulo,/accumulo/core/iterators/OrIterator.java,1.4.0,235,141.0,39,39.0,13,13.0,0,16,0,1,1,1.0,166.0,119.0,1,1.0
20,accumulo,/accumulo/core/iterators/SortedKeyValueIterator.java,1.4.0,128,18.0,7,0.0,7,7.0,105,114,2,4,1,1.0,166.0,119.0,1,1.0
21,accumulo,/accumulo/core/iterators/WrappingIterator.java,1.4.0,96,65.0,18,18.0,9,9.0,0,16,0,1,1,1.0,53.0,48.0,1,1.0
22,accumulo,/core/iterators/user/IndexedDocIterator.java,1.4.0,224,140.0,27,27.0,7,7.0,0,0,0,0,1,1.0,166.0,119.0,1,1.0
23,accumulo,/core/iterators/user/IntersectingIterator.java,1.4.0,563,362.0,88,88.0,40,40.0,91,8,1,2,1,1.0,166.0,119.0,1,1.0
24,accumulo,/accumulo/core/security/ColumnVisibility.java,1.4.0,344,241.0,67,67.0,2,2.0,0,16,0,1,1,1.0,155.0,119.0,1,1.0
25,accumulo,/core/tabletserver/thrift/MutationLogger.java,1.4.0,11727,9678.0,2405,2380.0,66,66.0,2,2,0,1,1,1.0,76.0,84.0,1,1.0
26,accumulo,/accumulo/core/util/MetadataTable.java,1.4.0,365,261.0,57,57.0,16,16.0,0,16,0,1,1,1.0,114.0,84.0,1,1.0
27,accumulo,/util/shell/commands/CreateTableCommand.java,1.4.0,251,193.0,36,36.0,2,2.0,112,33,2,4,1,1.0,116.0,84.0,1,1.0
28,accumulo,/util/shell/commands/GrepCommand.java,1.4.0,119,79.0,12,12.0,4,4.0,2,16,1,1,1,1.0,44.0,48.0,1,1.0
