,file,h_CC,h_LOC,h_bfs,h_churn,h_exp,h_num_bugs,h_num_post,h_num_pre,k_CC,k_LOC,k_bfs,k_churn,k_exp,k_num_bugs,k_num_post,k_num_pre,project,rel
0,/apache/accumulo/core/Constants.java,6,184,2,16,101,1,1,0,6,120,2,16,84,1,1,1,accumulo,1.4.0
1,/core/client/admin/TableOperationsImpl.java,148,1075,23,20,113.333333333,3,3,0,148,673,23,16,287,3,3,1,accumulo,1.4.0
2,/core/client/impl/MasterClient.java,20,121,58,0,117,2,2,0,20,89,58,16,203,2,2,1,accumulo,1.4.0
3,/core/client/impl/MetadataLocationObtainer.java,19,170,20,0,114,1,1,0,19,122,20,16,84,1,1,1,accumulo,1.4.0
4,/core/client/impl/OfflineScanner.java,47,408,2,816,55,1,1,0,47,282,7,0,132,2,2,0,accumulo,1.4.0
5,/core/client/impl/ScannerOptions.java,39,282,2,48,154,1,1,1,39,175,0,35,0,0,0,2,accumulo,1.4.0
6,/core/client/impl/TabletLocator.java,31,206,19,0,114,1,1,0,24,143,19,16,84,1,1,1,accumulo,1.4.0
7,/core/client/impl/TabletLocatorImpl.java,95,610,21,0,114,1,1,0,93,439,21,16,84,1,1,1,accumulo,1.4.0
8,/core/client/impl/TabletServerBatchReaderIterator.java,90,600,5,4,90,1,1,1,89,462,0,20,0,0,0,3,accumulo,1.4.0
9,/core/client/mapreduce/AccumuloOutputFormat.java,83,527,54,372,117,2,2,1,83,330,52,528,84,1,1,4,accumulo,1.4.0
10,/core/client/mapreduce/InputFormatBase.java,207,1570,107,932,102.5,2,2,1,207,877,107,278,168,2,2,3,accumulo,1.4.0
11,/core/client/mock/MockBatchScanner.java,11,89,20,30,153,1,1,2,11,59,0,46,0,0,0,4,accumulo,1.4.0
12,/core/client/mock/MockConnector.java,13,101,10,8,112,1,1,3,13,69,10,24,84,1,1,5,accumulo,1.4.0
13,/core/client/mock/MockInstance.java,16,123,2,16,112,1,1,1,16,88,2,32,84,1,1,3,accumulo,1.4.0
14,/core/client/mock/MockTable.java,20,127,4,13,116,1,1,1,20,94,4,24,84,1,1,3,accumulo,1.4.0
15,/accumulo/core/conf/Property.java,19,368,8,86,92,3,3,5,19,316,6,70,168,2,2,9,accumulo,1.4.0
16,/accumulo/core/data/ArrayByteSequence.java,16,104,5,0,152,1,1,0,16,66,0,16,0,0,0,1,accumulo,1.4.0
17,/accumulo/core/iterators/FirstEntryInRowIterator.java,18,141,35,0,24.6666666667,2,3,0,18,86,35,16,58,3,3,1,accumulo,1.4.0
18,/accumulo/core/iterators/IteratorUtil.java,45,275,21,46,61.5,2,2,1,45,199,21,24,89,2,2,5,accumulo,1.4.0
19,/accumulo/core/iterators/OrIterator.java,39,235,13,0,166,1,1,0,39,141,13,16,119,1,1,1,accumulo,1.4.0
20,/accumulo/core/iterators/SortedKeyValueIterator.java,7,128,7,105,166,1,1,2,0,18,7,114,119,1,1,4,accumulo,1.4.0
21,/accumulo/core/iterators/WrappingIterator.java,18,96,9,0,53,1,1,0,18,65,9,16,48,1,1,1,accumulo,1.4.0
22,/core/iterators/user/IndexedDocIterator.java,27,224,7,0,166,1,1,0,27,140,7,0,119,1,1,0,accumulo,1.4.0
23,/core/iterators/user/IntersectingIterator.java,88,563,40,91,166,1,1,1,88,362,40,8,119,1,1,2,accumulo,1.4.0
24,/accumulo/core/security/ColumnVisibility.java,67,344,2,0,155,1,1,0,67,241,2,16,119,1,1,1,accumulo,1.4.0
25,/core/tabletserver/thrift/MutationLogger.java,2405,11727,66,2,76,1,1,0,2380,9678,66,2,84,1,1,1,accumulo,1.4.0
26,/accumulo/core/util/MetadataTable.java,57,365,16,0,114,1,1,0,57,261,16,16,84,1,1,1,accumulo,1.4.0
27,/util/shell/commands/CreateTableCommand.java,36,251,2,112,116,1,1,2,36,193,2,33,84,1,1,4,accumulo,1.4.0
28,/util/shell/commands/GrepCommand.java,12,119,4,2,44,1,1,1,12,79,4,16,48,1,1,1,accumulo,1.4.0
29,/accumulo/core/zookeeper/ZooSession.java,23,147,6,0,206,1,1,0,23,102,6,16,119,1,1,1,accumulo,1.4.0
30,/accumulo/core/zookeeper/ZooUtil.java,50,262,39,6,146,2,2,0,50,190,5,16,84,1,1,1,accumulo,1.4.0
31,/examples/wikisearch/iterator/AndIterator.java,152,928,75,82,165,1,3,1,152,592,72,82,238,2,2,2,accumulo,1.4.0
32,/apache/accumulo/server/Accumulo.java,28,195,2,64,193,1,1,1,28,148,2,24,119,1,1,3,accumulo,1.4.0
33,/accumulo/server/client/BulkImporter.java,116,797,42,52,101,1,1,1,116,608,42,68,84,1,1,3,accumulo,1.4.0
34,/accumulo/server/fate/ZooStore.java,74,425,18,26,110,1,1,1,74,334,18,48,84,1,1,4,accumulo,1.4.0
35,/accumulo/server/logger/LogService.java,56,384,51,10,76,1,1,1,56,324,51,26,84,1,1,3,accumulo,1.4.0
36,/accumulo/server/logger/LogWriter.java,92,623,6,7,76,1,1,0,92,525,6,16,84,1,1,1,accumulo,1.4.0
37,/accumulo/server/master/CoordinateRecoveryTask.java,78,411,15,9,76,1,1,1,77,339,15,18,84,1,1,2,accumulo,1.4.0
38,/accumulo/server/master/LiveTServerSet.java,51,364,1,310,184,1,1,7,50,297,1,320,119,1,1,9,accumulo,1.4.0
39,/accumulo/server/master/Master.java,422,2308,33,980,133.666666667,3,3,18,422,1947,33,992,322,3,3,38,accumulo,1.4.0
40,/server/master/balancer/DefaultLoadBalancer.java,53,311,12,0,187,1,1,0,53,234,12,16,119,1,1,1,accumulo,1.4.0
41,/server/master/tableOps/BulkImport.java,59,499,176,518,101,1,1,5,59,388,176,526,84,1,1,11,accumulo,1.4.0
42,/server/master/tserverOps/FlushTablets.java,14,90,6,0,72,1,1,0,14,63,6,24,28,1,1,3,accumulo,1.4.0
43,/server/master/tserverOps/ShutdownTServer.java,10,94,2,0,179,1,1,0,10,66,2,19,119,1,1,2,accumulo,1.4.0
44,/accumulo/server/monitor/Monitor.java,78,617,12,32,139,1,1,1,78,507,12,34,119,1,1,3,accumulo,1.4.0
45,/server/monitor/servlets/DefaultServlet.java,47,384,11,168,140.5,2,2,1,47,315,11,87,238,2,2,4,accumulo,1.4.0
46,/server/monitor/servlets/MasterServlet.java,28,205,4,4,142,1,1,1,28,170,4,20,119,1,1,3,accumulo,1.4.0
47,/server/monitor/servlets/TServersServlet.java,46,370,4,0,139,1,1,0,46,306,4,16,119,1,1,1,accumulo,1.4.0
48,/accumulo/server/tabletserver/Tablet.java,597,3788,76,241,105.5,2,2,11,596,2739,14,338,168,2,2,21,accumulo,1.4.0
49,/accumulo/server/tabletserver/TabletServer.java,515,3329,48,222,176.8,3,5,10,515,2625,31,249,203,2,2,21,accumulo,1.4.0
50,/server/tabletserver/log/RemoteLogger.java,24,167,3,143,76,1,1,1,24,121,3,34,84,1,1,3,accumulo,1.4.0
51,/accumulo/server/util/Initialize.java,53,439,20,20,70,1,1,1,53,339,20,23,28,1,1,4,accumulo,1.4.0
52,/accumulo/server/util/MetadataTable.java,214,1289,4,66,131,1,1,1,214,992,0,91,0,0,0,4,accumulo,1.4.0
53,/accumulo/server/zookeeper/IZooReaderWriter.java,13,62,2,32,101,1,1,1,0,25,2,79,84,1,1,3,accumulo,1.4.0
54,/accumulo/server/zookeeper/ZooReaderWriter.java,32,207,5,2,101,1,1,1,31,152,5,77,84,1,1,3,accumulo,1.4.0
55,/core/client/mapred/AccumuloInputFormat.java,6,83,1,14,3,1,1,1,6,44,0,9,0,0,0,3,accumulo,1.5.0
56,/core/client/mapred/InputFormatBase.java,84,876,440,86,3,1,1,1,82,375,0,95,0,0,0,4,accumulo,1.5.0
57,/mapreduce/lib/util/ConfiguratorBase.java,39,393,2,154,41,1,1,1,23,87,0,249,0,0,0,3,accumulo,1.5.0
58,/mapreduce/lib/util/InputConfigurator.java,51,532,462,0,99,1,2,0,51,205,0,15,0,0,0,2,accumulo,1.5.0
59,/client/security/tokens/PasswordToken.java,22,156,4,54,44,1,1,1,22,96,0,10,0,0,0,1,accumulo,1.5.0
60,/accumulo/core/file/BloomFilterLayer.java,62,502,8,6,41,1,1,0,63,357,0,0,0,0,0,0,accumulo,1.5.0
61,/accumulo/core/security/Credentials.java,2,44,7,0,44,1,1,0,2,18,0,0,0,0,0,0,accumulo,1.5.0
62,/core/security/crypto/CryptoModuleFactory.java,33,254,29,0,41,1,1,0,33,179,0,0,0,0,0,0,accumulo,1.5.0
63,/accumulo/core/util/NumUtil.java,7,54,2,54,18,1,1,0,7,29,0,0,0,0,0,0,accumulo,1.5.0
64,/examples/simple/mapreduce/UniqueColumns.java,7,139,7,0,195,1,1,0,8,86,0,0,0,0,0,0,accumulo,1.5.0
