,file,h_CC,h_LOC,h_bfs,h_churn,h_exp,h_num_bugs,h_num_post,h_num_pre,k_CC,k_LOC,k_bfs,k_churn,k_exp,k_num_bugs,k_num_post,k_num_pre,project,rel
0,/apache/accumulo/core/Constants.java,6.0,184.0,2.0,16.0,101.0,1.0,1.0,0.0,6.0,120.0,2.0,716.0,84.0,1.0,1.0,13.0,accumulo,1.4.0
1,/core/client/admin/TableOperationsImpl.java,148.0,1075.0,23.0,20.0,113.333333333,3.0,3.0,0.0,148.0,673.0,23.0,4202.0,287.0,3.0,3.0,11.0,accumulo,1.4.0
2,/core/client/impl/MasterClient.java,20.0,121.0,58.0,0.0,117.0,2.0,2.0,0.0,20.0,89.0,58.0,451.0,203.0,2.0,2.0,5.0,accumulo,1.4.0
3,/core/client/impl/MetadataLocationObtainer.java,19.0,170.0,20.0,0.0,114.0,1.0,1.0,0.0,19.0,122.0,20.0,1428.0,84.0,1.0,1.0,12.0,accumulo,1.4.0
4,/core/client/impl/OfflineScanner.java,47.0,408.0,2.0,816.0,55.0,1.0,1.0,0.0,47.0,282.0,7.0,816.0,132.0,2.0,2.0,2.0,accumulo,1.4.0
5,/core/client/impl/ScannerOptions.java,39.0,282.0,2.0,48.0,154.0,1.0,1.0,1.0,39.0,175.0,0.0,1026.0,0.0,0.0,0.0,10.0,accumulo,1.4.0
6,/core/client/impl/TabletLocator.java,31.0,206.0,19.0,0.0,114.0,1.0,1.0,0.0,24.0,143.0,19.0,878.0,84.0,1.0,1.0,5.0,accumulo,1.4.0
7,/core/client/impl/TabletLocatorImpl.java,95.0,610.0,21.0,0.0,114.0,1.0,1.0,0.0,93.0,439.0,21.0,2752.0,84.0,1.0,1.0,5.0,accumulo,1.4.0
8,/core/client/impl/TabletServerBatchReaderIterator.java,90.0,600.0,5.0,4.0,90.0,1.0,1.0,1.0,89.0,462.0,0.0,2256.0,0.0,0.0,0.0,9.0,accumulo,1.4.0
9,/core/client/mapreduce/AccumuloOutputFormat.java,83.0,527.0,54.0,372.0,117.0,2.0,2.0,1.0,83.0,330.0,52.0,2220.0,84.0,1.0,1.0,11.0,accumulo,1.4.0
10,/core/client/mapreduce/InputFormatBase.java,207.0,1570.0,107.0,932.0,102.5,2.0,2.0,1.0,207.0,877.0,107.0,5342.0,168.0,2.0,2.0,22.0,accumulo,1.4.0
11,/core/client/mock/MockBatchScanner.java,11.0,89.0,20.0,30.0,153.0,1.0,1.0,2.0,11.0,59.0,0.0,254.0,0.0,0.0,0.0,9.0,accumulo,1.4.0
12,/core/client/mock/MockConnector.java,13.0,101.0,10.0,8.0,112.0,1.0,1.0,3.0,13.0,69.0,10.0,326.0,84.0,1.0,1.0,10.0,accumulo,1.4.0
13,/core/client/mock/MockInstance.java,16.0,123.0,2.0,16.0,112.0,1.0,1.0,1.0,16.0,88.0,2.0,405.0,84.0,1.0,1.0,7.0,accumulo,1.4.0
14,/core/client/mock/MockTable.java,20.0,127.0,4.0,13.0,116.0,1.0,1.0,1.0,20.0,94.0,4.0,507.0,84.0,1.0,1.0,13.0,accumulo,1.4.0
15,/accumulo/core/conf/Property.java,19.0,368.0,8.0,86.0,92.0,3.0,3.0,5.0,19.0,316.0,6.0,2064.0,168.0,2.0,2.0,21.0,accumulo,1.4.0
16,/accumulo/core/data/ArrayByteSequence.java,16.0,104.0,5.0,0.0,152.0,1.0,1.0,0.0,16.0,66.0,0.0,450.0,0.0,0.0,0.0,5.0,accumulo,1.4.0
17,/accumulo/core/iterators/FirstEntryInRowIterator.java,18.0,141.0,35.0,0.0,24.6666666667,2.0,3.0,0.0,18.0,86.0,35.0,602.0,58.0,3.0,3.0,7.0,accumulo,1.4.0
18,/accumulo/core/iterators/IteratorUtil.java,45.0,275.0,21.0,46.0,61.5,2.0,2.0,1.0,45.0,199.0,21.0,1168.0,89.0,2.0,2.0,15.0,accumulo,1.4.0
19,/accumulo/core/iterators/OrIterator.java,39.0,235.0,13.0,0.0,166.0,1.0,1.0,0.0,39.0,141.0,13.0,1020.0,119.0,1.0,1.0,7.0,accumulo,1.4.0
20,/accumulo/core/iterators/SortedKeyValueIterator.java,7.0,128.0,7.0,105.0,166.0,1.0,1.0,2.0,0.0,18.0,7.0,432.0,119.0,1.0,1.0,10.0,accumulo,1.4.0
21,/accumulo/core/iterators/WrappingIterator.java,18.0,96.0,9.0,0.0,53.0,1.0,1.0,0.0,18.0,65.0,9.0,400.0,48.0,1.0,1.0,7.0,accumulo,1.4.0
22,/core/iterators/user/IndexedDocIterator.java,27.0,224.0,7.0,0.0,166.0,1.0,1.0,0.0,27.0,140.0,7.0,224.0,119.0,1.0,1.0,1.0,accumulo,1.4.0
23,/core/iterators/user/IntersectingIterator.java,88.0,563.0,40.0,91.0,166.0,1.0,1.0,1.0,88.0,362.0,40.0,3646.0,119.0,1.0,1.0,13.0,accumulo,1.4.0
24,/accumulo/core/security/ColumnVisibility.java,67.0,344.0,2.0,0.0,155.0,1.0,1.0,0.0,67.0,241.0,2.0,1232.0,119.0,1.0,1.0,5.0,accumulo,1.4.0
25,/core/tabletserver/thrift/MutationLogger.java,2405.0,11727.0,66.0,2.0,76.0,1.0,1.0,0.0,2380.0,9678.0,66.0,12457.0,84.0,1.0,1.0,8.0,accumulo,1.4.0
26,/accumulo/core/util/MetadataTable.java,57.0,365.0,16.0,0.0,114.0,1.0,1.0,0.0,57.0,261.0,16.0,2992.0,84.0,1.0,1.0,11.0,accumulo,1.4.0
27,/util/shell/commands/CreateTableCommand.java,36.0,251.0,2.0,112.0,116.0,1.0,1.0,2.0,36.0,193.0,2.0,1109.0,84.0,1.0,1.0,17.0,accumulo,1.4.0
28,/util/shell/commands/GrepCommand.java,12.0,119.0,4.0,2.0,44.0,1.0,1.0,1.0,12.0,79.0,4.0,456.0,48.0,1.0,1.0,7.0,accumulo,1.4.0
