"","V1","V2","V3","V4"
"1","Project","Y #Bugs","Y ChgLines","Y Exp"
"2","accumulo","0.135482649907879","0.110361120485965","0.0316235184976904"
"3","bookkeeper","0.184474070959247","0.0916614723954181","0.137945026126209"
"4","camel","0.129746894749975","0.0536540690169224","0.0793639425397186"
"5","cassandra","0.285664214977049","0.143855156783042","0.0651194550539603"
"6","cxf","0.114152148864603","0.0767443198622354","0.0540458938075042"
"7","derby","0.175642658791878","0.0685245541470108","0.0582590700404171"
"8","felix","0.19031160365338","0.0759096672917606","0.107965849810309"
"9","hive","0.192698119807836","0.105636277976944","0.0360623841938722"
"10","openjpa","0.159818046806435","0.0679470483521711","0.0744595957760472"
"11","pig","0.164705707910594","0.114363109932989","0.0479515994930899"
"12","wicket","0.254650410039419","0.0748584787102876","0.0703187681458987"
