project,major,minor,hash
accumulo,1.0,6.0,31f4e83b94c4f150df2639f251d6835305fa531d
accumulo,1.0,6.0,f584685a5e6d5179b0366c044df9d4cb8622423a
accumulo,1.0,6.0,f247c8e251abb99765ed28b98873f22152d52f58
accumulo,1.0,6.0,1dae0298fd2c1bee80855e5c4067ef569c6299b5
accumulo,1.0,6.0,b3c893671ff039836251fc6c33b9522690a4dda5
accumulo,1.0,6.0,15e4f002ff8e016c3bcc5ea0613994c92efb6434
accumulo,1.0,6.0,08c255a26fa93f24c4b1d36203152b54a13f4396
accumulo,1.0,6.0,91396e5248dc9f819ba35d3c8d0e57b220b44514
accumulo,1.0,6.0,06162580e885f11863d1a6d22f952bce35b78b68
accumulo,1.0,6.0,4384b313bd0854151e898e4c4720e10f951fe41d
accumulo,1.0,6.0,f130ca3630a5f64d5e23c01d3ba7a7a9e4062ad8
accumulo,1.0,6.0,8a3a9aca8dc04856eafb3f9efd794208f1a60ea5
accumulo,1.0,6.0,f20f629f6230c2c2669d0c23b12d830a9d9c1aca
accumulo,1.0,6.0,5bd4465c433860624091b0d97892e02f58154e7a
accumulo,1.0,6.0,220a0353cf228c6d4e8ecacef1c67a359834f912
accumulo,1.0,6.0,0aa4758955ca8386a132e08060208c3b1bd9e983
accumulo,1.0,6.0,d2caaa2d622641e6653c10f264f8a75060916279
accumulo,1.0,6.0,c4809e5fc5ac50490dd2e78947aa8f25ffeda7d6
accumulo,1.0,6.0,c0234ad84a03f13ebdcdbe3022f7863a3c56a234
accumulo,1.0,6.0,1ce4e119286116049861280ea3435d8e186d6f3b
accumulo,1.0,6.0,89592d4cc7ae601a66baabb588c315e06764dfb0
accumulo,1.0,6.0,e1c727712f2f1fb3de73311b1d752e5adf2ca98a
accumulo,1.0,6.0,37e0d0382a34a9db3f8fd392bba256d11628bf60
accumulo,1.0,6.0,d47f86b66d98fee6aaa8c4ae08bb45ecfc61aa0f
accumulo,1.0,6.0,61e0c2aec724de505cf21c49cedca0783f87f69a
accumulo,1.0,6.0,d1197ace15de2901a45de44d478222f47f77dce4
accumulo,1.0,6.0,245f952a4435715bd1059829f6f6a2e5beaba288
accumulo,1.0,6.0,88b6202f5b78838e7e6187010792261eff9c4bc8
accumulo,1.0,6.0,22917ba4eac60567f499d469eedc5c30217450e2
accumulo,1.0,6.0,95a7a7ae8854f86f076ca6fe909b7f00ed48c0b4
accumulo,1.0,6.0,f277fea98588b5e9f97d237a6479b9dfa08a37a1
accumulo,1.0,6.0,8645d448ca22f83fbc43d29424f2a23927822caf
accumulo,1.0,6.0,c803b90eae8c685cb39521b1a5a29e871904be36
accumulo,1.0,6.0,448e757807816bc36b43fb622df60c1186a347f3
accumulo,1.0,6.0,9bdad265990eb57ca7e101c0a3a446856798de55
accumulo,1.0,6.0,83ef6b8433e25477993308cb5a2acc30d9c26246
accumulo,1.0,6.0,5cc15cef529af0587d071bf70aaaf27c99620b88
accumulo,1.0,6.0,3ebd44a68d7322fd0f8cf4082c3c8baaf56b98e9
accumulo,1.0,6.0,63e0acdb981270e613c9354900531188bd6e2999
accumulo,1.0,6.0,f4454a06567c1fd4ff8b9a374d633a42c23a8a80
accumulo,1.0,6.0,4feddce31a418aedcfdbf38bdc7a8261c62ae65b
accumulo,1.0,6.0,90377b6b8937097d98dc93ba1fdcce465150ff75
accumulo,1.0,6.0,3caca11856be1bafd3b69974eabeedd67a201ce7
accumulo,1.0,6.0,0a451ca6505f1ed747c4f3715d453ece0a97da99
accumulo,1.0,6.0,aca9448296f3962d1d1c0d829c79b5420d13ed07
accumulo,1.0,6.0,7bb58830b4efc51181cb8b1e33afa42738987018
accumulo,1.0,6.0,236b80e11a728d7087fd5a2ad178a253b6e0cf2d
accumulo,1.0,6.0,66065466b58a93a81ad0271c4672afd9874255ee
accumulo,1.0,6.0,f2e99ff97b9d6cd0c1e8a5827b7b7100fabab85f
accumulo,1.0,6.0,a5e24951552f4a1fdf77985832583df9d37e5762
accumulo,1.0,6.0,3a2f296ca06f082721919d12bcd95dc44748321e
accumulo,1.0,6.0,da3339e1953e448a28fab41844021dc1ce0a67cf
accumulo,1.0,6.0,0d10bda874240ddc8ead68d850b46e4f48566634
accumulo,1.0,6.0,9621701fd6d930952f82523b52c428dcf89a18dd
accumulo,1.0,6.0,7ee266e16355aa3cff160e3b71b7028167924331
accumulo,1.0,6.0,157b5069cf7491173b0a9803c962d8d0908f5ab5
accumulo,1.0,6.0,c6a55d1a4a8df35a06abe28313167312ef992da1
accumulo,1.0,6.0,d392b120025d40eb4a79a5309cf35af1df49db1c
accumulo,1.0,6.0,7790c08755be2e4867d3cd5585a52c71dfb33a3e
accumulo,1.0,6.0,92c41719bfc9cce7cb222c96155650bc11a288fb
accumulo,1.0,6.0,1c61799068f0c93193a7b5d22fb6badc942637aa
accumulo,1.0,6.0,b3b1ee9a441ad907e7acf904e3227f66ba1c7b35
accumulo,1.0,6.0,5d82796040dc17075afa351c0c3b855c6c11aaa8
accumulo,1.0,6.0,53136a7b38d3720af4879344829286a27f34fca2
accumulo,1.0,6.0,35b0549ba562334e46944d2a1fbe406bf96349a4
accumulo,1.0,6.0,50d04a7db9fb702b1d661b78d1b665a5efa911b4
accumulo,1.0,6.0,a65565b43d3748c2772a90a024fe2d3745869c49
accumulo,1.0,6.0,7fab6634dacf6039fbef7d4c111bfdd04499474b
accumulo,1.0,6.0,93c8bddc71d1ee190649eeab263205185d75421c
accumulo,1.0,6.0,5b32fd22b928caa44ea1535851b57cede5f34c5f
accumulo,1.0,6.0,133f0ee33376a85fdb678022067ee0ad963bd240
accumulo,1.0,6.0,c9718e352ba9e3a335179085571f766de1bf4069
accumulo,1.0,6.0,3a36aa45a5e108cef2014e34ff148e917ada8cfd
accumulo,1.0,6.0,99baad37e86739c701821e3c09d69434236d302a
accumulo,1.0,6.0,5678e51375c0612a6a73b1ebd592337868954be6
accumulo,1.0,6.0,49cf3028d878fd4538cd4589190e49046a138e4b
accumulo,1.0,6.0,aeb000c1c965e216cf4392803cfcf7a507b87dff
accumulo,1.0,6.0,002fd8267bd1766d1a4cdc6f9bbec8b7d7600245
accumulo,1.0,6.0,6ea1ead4e97ca98fbca4dccf2eb70a58301a5c19
accumulo,1.0,6.0,eac96b2e04c0352fb4f7a0007c8113ac6b089c0d
accumulo,1.0,6.0,e4b08b17ff0f42db6ba64f79cd277a918fe6fc23
accumulo,1.0,6.0,2eac2c47dcd8c9ed201eadefa6cbfaa9100406d3
accumulo,1.0,6.0,5b76a6ddbffb9edea17965c9ec9775fe9b23e252
accumulo,1.0,6.0,42bd4ab83bd3bd3d68ac3d968136ebdbc6f0a4b8
accumulo,1.0,6.0,0bbdddd02904b794defaf7e18c5f831802dfc161
accumulo,1.0,6.0,e7d54d335e7192c612d5d121ee6b8ebd5b968cc8
