project,release,pre,post,files,buggy_files
accumulo,1.4.0,716,423,801,72
accumulo,1.5.0,970,496,871,197
accumulo,1.6.0,959,745,1035,197
bookkeeper,4.1.0,76,82,220,13
bookkeeper,4.2.0,122,123,311,87
bookkeeper,4.3.0,93,57,440,73
camel,2.10.0,471,807,2570,228
camel,2.11.0,784,307,2852,137
camel,2.12.0,412,541,3199,58
cassandra,1.0.0,421,402,507,109
cassandra,1.1.0,411,444,562,143
cassandra,1.2.0,561,512,729,101
cxf,2.5.0,550,392,2799,221
cxf,2.6.0,479,418,2953,138
cxf,2.7.0,386,1349,3021,87
derby,10.1.0,1,482,1712,169
derby,10.2.0,945,571,1963,1418
derby,10.3.0,785,586,2203,439
felix,1.8.0,1396,3685,56,0
felix,1.4.0,72,759,40,4
felix,1.6.0,598,1696,40,24
hive,2.0.0,613,290,3659,47
hive,2.1.0,351,832,0,0
hive,2.2.0,972,0,4038,318
openjpa,1.0.0,898,187,1002,130
openjpa,1.1.0,185,228,1049,29
openjpa,1.2.0,271,691,1055,101
pig,0.10.0,189,144,993,19
pig,0.11.0,162,124,1030,137
pig,0.12.0,96,121,1091,62
wicket,1.3.0,289,620,1304,128
wicket,1.4.0,499,666,1364,174
wicket,1.5.0,1618,538,1555,143
