Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Cloners),Outward issue link (Incorporates),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Supercedes),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (CXF Fields),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
ClientProxyImpl does not support Multipart annotations,CXF-4178,12546098,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,sergey_beryozkin,sergey_beryozkin,sergey_beryozkin,12/Mar/12 14:25,23/Apr/12 16:45,14/Mar/19 02:29,12/Mar/12 16:47,,,,,,,,,,,,,,,,,,2.4.7,2.5.3,2.6,,JAX-RS,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,Unknown,,,,,,,,,,,231256,,,2012-03-12 14:25:39.0,,,,,,0|i0b8cf:,63464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClientProxyImpl does not order Path parameter values according to the template order,CXF-4177,12546082,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,sergey_beryozkin,sergey_beryozkin,sergey_beryozkin,12/Mar/12 11:31,31/Dec/12 17:21,14/Mar/19 02:29,12/Mar/12 11:53,,,,,,,,,,,,,,,,,,2.3.10,2.4.7,2.5.3,2.6,JAX-RS,,,,0,,,,,,"ClientProxyImpl expects that the order of Path parameters matches the order of the template variables, example,
{code:java}
@Path(""{a}/{b}"")
@GET
public Book getBook(@PathParam(""a"") String a, @PathParam(""b"") String b);

{code}

Having the different order, example

{code:java}
@Path(""{a}/{b}"")
@GET
public Book getBook(@PathParam(""b"") String b, @PathParam(""a"") String a);

{code}

breaks the URI generation...",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2012-12-31 17:21:41.566,,,no_permission,,Unknown,,,,,,,,,,,231240,,,Mon Dec 31 17:21:41 UTC 2012,,,,,,0|i0b7j3:,63332,,,,,,,,31/Dec/12 17:21;cruelfate;Thanks for fixing this one!  Was perplexed by this for a bit.  ,,,,,,,,,,,,,,,,,,,,,,,,,,
"Default JAX-RS XML, JSON and Form providers are open to the hash collision attacks",CXF-4172,12545845,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Critical,Fixed,sergey_beryozkin,sergey_beryozkin,sergey_beryozkin,09/Mar/12 13:55,23/Apr/12 16:45,14/Mar/19 02:29,14/Mar/12 17:11,,,,,,,,,,,,,,,,,,2.3.10,2.4.7,2.5.3,2.6,JAX-RS,JAX-RS Security,,,0,,,,,,"Default XML, JSON and Form providers using the Maps internally are open to the hash collision attacks.

This includes JAXBElementProvider and JSONProvider (JAXB-driven), SourceProvider, FormEncodingProvider.",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,Unknown,,,,,,,,,,,231028,,,Wed Mar 14 17:08:08 UTC 2012,,,,,,0|i0b6av:,63133,,,,,,,,"09/Mar/12 14:01;sergey_beryozkin;The initial commit:
http://svn.apache.org/viewvc?rev=1298470&view=rev
","14/Mar/12 17:08;sergey_beryozkin;A number of new contextual properties has been introduced to limit the depth of the incoming XML or JSON payloads (processed with the help of JAXB) and form payloads.

XML and JSON:

""depthTotalElementCountThreshold"" - restricts the total number of elements in a given payload.
""depthInnerElementCountThreshold"" - restricts the total number of child elements for a given element.
""depthInnerElementLevelThreshold"" - restricts the stack depth starting from a given element (root by default).

These properties can be enforced in a number of ways. The simplest option is to enable them on individual JAX-RS endpoints. Alternatively, default CXF JAX-RS JAXBElementProvider and JSONProvider can have a 'depthProperties' set (http://svn.apache.org/repos/asf/cxf/trunk/api/src/main/java/org/apache/cxf/staxutils/DocumentDepthProperties.java). Finally they can instead depend on DepthRestrictingStreamInterceptor (http://svn.apache.org/repos/asf/cxf/trunk/rt/core/src/main/java/org/apache/cxf/interceptor/security/DepthRestrictingStreamInterceptor.java) configured and added to the inbound chain.

Source and DOM Document providers will depend on DepthRestrictingStreamInterceptor.
  

More sophisticated properties can be introduced in the future.

Form:

""maxFormParameterCount"" - restricts the number of form name-value pairs.
Note that the Servlet containers may also need to restrict the number of form parameters:
http://mail-archives.apache.org/mod_mbox/tomcat-announce/201112.mbox/%3C4EFB9800.5010106@apache.org%3E

The clients will get HTTP 413 back whenever one of the above contextual properties can not be enforced.

*Note*: other optional XML or JSON providers may need the related third-party library enhanced to enforce the depth of the incoming payloads.

",,,,,,,,,,,,,,,,,,,,,,,,,
Static resource resolution not possible with CXFNonSpringJaxrsServlet,CXF-4171,12545808,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Minor,Fixed,sergey_beryozkin,jboch,jboch,09/Mar/12 10:51,23/Apr/12 16:45,14/Mar/19 02:29,11/Apr/12 14:25,2.5.2,,,,,,,,,,,,,,,,,2.3.10,2.4.7,2.5.3,2.6,JAX-RS,,,,0,configuration,,,,,"The title says it all. I wanted this to get a full WADL document, and found it's not supported.

I was able to do it only by changing the source code - adding bean.setStaticSubresourceResolution(true); to ResourceUtils:621 (before bean.setResourceClasses(resourceClasses) ) does the trick.

Since this requires source code modification or copy-pasting and overriding methods in both CXFNonSpringJaxrsServlet and ResourceUtils I think that there should be a config option similiar to jaxrs.application.address.ignore available for this.",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2012-03-21 22:04:44.684,,,no_permission,,Novice,,,,,,,,,,,230991,,,Mon Mar 26 11:54:45 UTC 2012,,,,,,0|i0b6rr:,63209,,,,,,,,"21/Mar/12 13:54;jboch;I'm sorry but the fix is useless - the static resolution has to be set *before* bean.setResourceClasses() call. 
It matters what setting is there when classes are registered!

In this way they still get dynamic resolution regardless of the setting.","21/Mar/12 22:04;sergey_beryozkin;No problems, thanks for trying it early; I've committed another update - can you please confirm it works as expected ?",26/Mar/12 11:16;jboch;This one seems to be working OK - thanks,26/Mar/12 11:24;sergey_beryozkin;thanks for the confirmation; at some point we will refactor the server bean to eliminate the ordering issue,"26/Mar/12 11:33;jboch;I'm sorry but I actually forgot to switch off my custom implementation when trying this.
It still doesn't seem to work :( 
When looking at the code I don't see any relevant changes - the static resolution is still set after bean.setResourceClasses() call.

I will double check if I hadn't mixed up the snapshots and let you know.","26/Mar/12 11:40;jboch;Ok - so apparently this is not yet available, on the snapshot page there are files from 2012-03-21 06:45:10, whereas it seems your fix was commited around 22:19:21",26/Mar/12 11:45;sergey_beryozkin;probably... This is now done immediately after setAddress: http://svn.apache.org/repos/asf/cxf/trunk/rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/servlet/CXFNonSpringJaxrsServlet.java,"26/Mar/12 11:54;jboch;Yes, this seems to be the right thing. I will wait until the snapshot build from this is available for download and test again.

BTW: I can't find any info on when 2.5.3 will be released as a stable version, is there any planned date?",,,,,,,,,,,,,,,,,,,
JMX InstrumentationManager's configuration properties may not be set correctly in standalone mode after upgrading to 2.5.2,CXF-4170,12545684,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,ay,ay,ay,08/Mar/12 17:26,23/Apr/12 16:45,14/Mar/19 02:29,08/Mar/12 23:29,2.5.2,,,,,,,,,,,,,,,,,2.5.3,2.6,,,Management,,,,0,,,,,,"We introduced a simpler mechanism for configuring the instrumentation manager with CXF-3992, namely using the bus properties instead of directly configuring the InstrumentationManagerImpl bean. Unfortunately, this change introduced an issue in setting the instrumentation bean properties configured using the old style of directly configuring the instrumentation manager bean.

In particular, when setting each property of the InstrumentationManagerImpl bean, those properties that are set before the bus property is set are not correctly set with the desired values. For example, if the bus property is set at the beginning, the rest of the properties appearing below this line are correctly set. However, if the bus property is set not at the beginning, those properties appearing above that line are not set correctly and overwritten by the default values. 

Note that this problem does not occur when the properties are set using the bus properties

In any case, this problem needs to be fixed.",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,Unknown,,,,,,,,,,,230867,,,2012-03-08 17:26:45.0,,,,,,0|i0suav:,166386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CXF does not always respect SecurityPolicy TokenInclusion for the AsymmetricBinding,CXF-4166,12545374,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,coheigea,coheigea,coheigea,06/Mar/12 17:26,23/Apr/12 16:45,14/Mar/19 02:29,07/Mar/12 11:26,2.4.6,2.5.2,,,,,,,,,,,,,,,,2.4.7,2.5.3,,,,,,,0,,,,,,"
CXF does not always respect the SecurityPolicy TokenInclusion for the AsymmetricBinding. In particular, if an X509Token is used as an InitiatorToken, a direct reference to the token is always used for Always* inclusion policies, even if the policy specifies a Thumbprint or IssuerSerial requirement.",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,no_permission,,Unknown,,,,,,,,,,,230560,,,2012-03-06 17:26:31.0,,,,,,0|i0b8dj:,63469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust-InOnly processing with WS-RM must must delay updating the sequence until message delivery,CXF-4164,12545259,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,ay,ay,ay,05/Mar/12 23:45,23/Apr/12 16:45,14/Mar/19 02:29,21/Mar/12 07:35,2.4.7,2.5.3,,,,,,,,,,,,,,,,2.4.7,2.5.3,2.6,,WS-* Components,,,,0,,,,,,"A recently added robust-inonly mode (CXF-4096) can be used to invoke services synchronously so that the caller can distinguish a successful invocation from an unsuccessful one. 

Although this feature is implemented independently of WS-RM, it can be used with WS-RM to force the acknowledgement message to be returned only after the service invocation successfully completes. 

Unfortunately, there is a minor change required in WS-RM so that this feature will work for this use case. Namely, it must be made aware of this robust setting so that it can postpone updating the sequence until the message is delivered.

",,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2012-03-06 00:10:09.758,,,no_permission,,Unknown,,,,,,,,,,,230445,,,Tue Mar 13 12:55:09 UTC 2012,,,,,,0|i0b6zr:,63245,,,,,,,,"06/Mar/12 00:10;dsosnoski;This is probably the way all WS-RM processing should work, so that messages are only acknowledged once they've been delivered to the application and processed. The current code appears to allow a timing window where a crash would mean the message has been accepted and acknowledged by RM processing but is never seen by the application.

It looks like all that needs to be done for 2.5.x+ is to remove the call to destination.acknowledge() from RMInInterceptor.processSequence() and instead call it from RMDeliveryInterceptor.handle() (before the call to processingComplete()).
","13/Mar/12 12:55;ay;Hi Dennis,

As I mentioned in my reply on dev@cxf at
http://cxf.547215.n5.nabble.com/Re-svn-commit-r1297370-in-cxf-branches-2-5-x-fixes-rt-ws-rm-src-main-java-org-apache-cxf-ws-rm-syste-td5540174.html

This is an option for not losing messages at Destination. For many applications, this option will be sufficient. For those which expect an asynchronous decoupling of the message transport to the service invocation, this will be insufficient and we will still need a message storage and a re-delivery logic from the storage, which is currently missing.

So, I will be adding to this ticket an optimization change to avoid persisting the messages at Destination for the robust-mode. Currently, the messages are always persisted independently of the mode.

regards, aki
",,,,,,,,,,,,,,,,,,,,,,,,,
WSDLToJava Error: Thrown by JAXB: 'CodeGroup' is already defined ... OTA_CommonTypes.xsd,CXF-4163,12545177,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,dkulp,yguerro,yguerro,05/Mar/12 13:23,23/Apr/12 16:45,14/Mar/19 02:29,09/Mar/12 20:04,2.4.2,2.5.2,,,,,,,,,,,,,,,,2.4.7,2.5.3,,,Tooling,,,,0,OTA,WSDL2JAVA,,,,"My WSDL imports several schemas. Some schemas import/include other schemas. Some schemas are imported/included by several schemas.
Running WSDL2java with an ant task with the following options 

wsdl2java -d src -b custom.xml -exsh true -autoNameResolution -verbose MyExample.wsdl

(custom.xml is used to disable wrapper-style)

I got several errors such as:

     [java] WSDLToJava Error: Thrown by JAXB: 
     [java] Thrown by JAXB: 
     [java] 'CodeGroup' is already defined
     [java]  at line 175 column 2 of schema file:.../OTA/2010B/OTA_CommonTypes.xsd
     [java] (related to above error) the first definition appears here
     [java]  at line 45 column 2 of schema file:/.../My_CommonTypes.xsd

OTA_CommonTypes.xsd defines the following type:

<xs:attributeGroup name=""CodeGroup"">
 ...
</xs:attributeGroup>

My_CommonTypes.xsd defines the following type:

<xs:attributeGroup name=""CodeGroup"">
 ...
</xs:attributeGroup>

OTA_CommonTypes.xsd is included by a schema defining a target namespace ""http://www.opentravel.org/OTA/2003/05/OTA2010B""
My_CommonTypes.xsd is included by a schema defining a target namespace  ""http://xml.example.com/MyTypes""

XML schemas as well as WSDL are valid (other frameworks generates code without any issue - and even CXF WSDL validator returns a success) and the types should be generated in distinct packages, therefore without any conflicts.

My assumption is that CXF wsdl2java fails at resolving the type namespace with schemas which are chameleon schemas (no targetNamespace attributes) which is the case for all OTA type schemas.

A work-around that I would like to avoid as I'm exposing the WSDL to different clients  using different frameworks and I don't want to create 1 WSDL per framework, would be to add targetNamespace attributes to all chameleon schemas.","Windows XP
Java SDK 1.6.0_26
Eclipse IDE 3.5.2",604800,604800,,0%,604800,604800,,,,,,,,,,05/Mar/12 14:41;yguerro;JIRA-CXF-4163.zip;https://issues.apache.org/jira/secure/attachment/12517089/JIRA-CXF-4163.zip,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2012-03-05 13:47:47.361,,,no_permission,,Advanced,,,,,,,,,,,230363,,,Mon Mar 05 14:41:53 UTC 2012,,,,,,0|i0b6sn:,63213,,,,,,,,05/Mar/12 13:47;gmazza;To facilitate solution it would probably be beneficial to attach a very simple test case (abbreviated sample WSDL with minimal schemas) w/Ant or Maven or command-line instructions to replicate this issue.,"05/Mar/12 14:41;yguerro;Contains an eclipse project with a simplified WSDL, XML schemas and the wsdl2java output",,,,,,,,,,,,,,,,,,,,,,,,,
AbstractConduitSelector reused cached conduit even if protocol was changed,CXF-4154,12544962,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Major,Fixed,dkulp,ashakirin,ashakirin,02/Mar/12 16:58,23/Apr/12 16:45,14/Mar/19 02:29,26/Mar/12 16:03,,,,,,,,,,,,,,,,,,2.6,,,,Core,,,,0,,,,,,"Hi,

Actually AbstractConduitSelector.getSelectedConduit() creates and caches conduit in selectedConduit variable. Cached conduit is reused by the next calls.

I see the following problem: if user changed protocol in URI between calls, AbstractConduitSelector still uses cached Conduit even it cannot process new URL. In my case cached HTTP consuit tries to process UDP URL.

Proposal for fix: check if protocol in URL was changed and if yes, close and reset selectedConduit.

Patch is attached.

Regards,
Andrei.",,,,,,,,,,,,,,,,,02/Mar/12 16:59;ashakirin;AbstractConduitSelector.patch;https://issues.apache.org/jira/secure/attachment/12516854/AbstractConduitSelector.patch,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2012-03-23 18:59:11.109,,,no_permission,,Unknown,,,,,,,,,,,230148,,,Mon Mar 26 16:03:00 UTC 2012,,,,,,0|i0b6z3:,63242,,,,,,,,02/Mar/12 16:59;ashakirin;Patch,"23/Mar/12 18:59;dkulp;
There is a threading problem with the proposal that I definitely need to think more about.  If two threads are making requests, one of which changes the protocol, it can close the conduit used by the other thread prematurely.
","24/Mar/12 15:11;ashakirin;Yep, you are right. Case is a little bit exotic, but anyway - patch is not safe. 
I am going to fix it in the following way: provide a thread safe cache map for the conduits with protocol as key. In getSelectedConduit() check map first and create new conduit only if it is not cached for requested protocol. In close() release all conduits from the map. Patch will be improved soon.","24/Mar/12 18:48;dkulp;I'm testing a different fix today.   Hopefully will commit on monday.
","25/Mar/12 10:34;ashakirin;Ok, very curious to see how you fixed it.","26/Mar/12 14:47;dkulp;Committed a fix last night that pretty much removes the ""selectedConduit"" field and keeps a list of conduits.  Under normal operation, that's a single conduit, but it can ""grow"" as additional protocols and such require it.

Because of the field removal, not back portable to <=2.5.x.   Will need to be release noted.

Can you give it a quick spin to make sure it works OK?","26/Mar/12 15:52;ashakirin;Just tested with my use case - your fix works!

Only snapshoot in findCompatibleConduit() I did not completely understand:
{code}
        for (Conduit c2 : conduits) {
            if (c2.getTarget() == null 
                || c2.getTarget().getAddress() == null
                || c2.getTarget().getAddress().getValue() == null) {
                return c2;
            }
        }
{code}
Does conduit with not initialized target endpoint make sense at all? AbstractConduit constructor requires target endpoint argument, of course it is possible to give null there - but is there any use case for it? 
Do you think it is legal to choose such conduit if there is no another one that fit better (regarding protocol or full URL)?
I would propose just return null in findCompatibleConduit() for this case and re-initialse conduit.","26/Mar/12 16:03;dkulp;
It is a valid use case.  Using the UpfrontConduitSelector, an application could configure in a conduit that ""protocol less"" or similar that is not specific to a target.   As an example, an ESB, instead of creating a conduit for each protocol, could just configure in a ""SuperDoEverythingConduit"" singleton or similar that is not target specific.   We do want to allow that type of thing.   (and there is a test that hits it which is why I added that check)  :-)

Anyway, thanks for verifying that the fix works. ",,,,,,,,,,,,,,,,,,,
"FIQL Parsers Beanspector, replaces ""is"", ""set"" and ""get"" in method names",CXF-4153,12544925,Bug,Closed,CXF,CXF,software,dkulp,,http://cxf.apache.org,Critical,Fixed,sergey_beryozkin,nast0011,nast0011,02/Mar/12 11:57,23/Apr/12 16:45,14/Mar/19 02:29,02/Mar/12 16:07,2.5.2,,,,,,,,,,,,,,,,,2.3,2.4.7,2.5.3,2.6,JAX-RS,,,,0,fiql,,,,,"I try to use FIQL for search. When I init a new Parser, it caches all getters and setters of the target resource type class via Beanspector. All method names are updated to lower case and a possible leading ""is"", ""get"" or ""set"" should be replaced.

-> The replacement effectes not only leading strings! ""isPromissed"" will be changed in ""promsed""!
(see code, Beanspector:183)
private String setterName(Method m) {
   return m.getName().replace(""is"", """").replace(""set"", """").toLowerCase();
}

Please change this method in a implementation, like this:

    private String methodName(Method m) {
        String result = m.getName().toLowerCase();

        if (result.startsWith(""is"")) {
            result = result.substring(2, result.length());
        }
        else if (result.startsWith(""set"") || result.startsWith(""get"")) {
            result = result.substring(3, result.length());
        }

        return result;
    }

Thanks,
Stefan",Java6,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2012-03-02 16:07:26.909,,,no_permission,,Novice,,,,,,,,,,,230111,,,Fri Mar 02 16:07:26 UTC 2012,,,,,,0|i0b7vr:,63389,,,,,,,,"02/Mar/12 16:07;sergey_beryozkin;Hi Stefan, I applied your patch, thanks ",,,,,,,,,,,,,,,,,,,,,,,,,,
