Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Incorporates),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Regression),Outward issue link (dependent),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Existing GitBox Approval),Custom field (External issue URL),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"scr- and bundle-plugin in multimodule project fails with goal ""test""",FELIX-2878,12501115,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,cziegeler,kwin,kwin,11/Mar/11 08:18,28/Jul/11 08:54,14/Mar/19 02:45,02/May/11 14:32, maven-scr-plugin-1.6.0,scr generator 1.1.0,,,,,,,,,maven-scr-plugin-1.7.2,scr generator 1.1.2,,,SCR Tooling,,,,,,,1,,,,,,"If I have a multimodule project with several OSGi bundles, which all use the scr plugin, there is an error during ""mvn test"". This is due to the scr plugin being bound to the phase ""generate-resources"" and maven-bundle plugin generating the manifest only in the package phase. If I have modules A and B (both packaging ""bundle""), B depends upon A and building the multimodule with ""mvn test"" there is an error, because during the scr goal of B, it looks for the manifest of A, which is apparently not there, since it is not  constructed with ""test"".
The error message is as follows:
...<during the ""test"" of module B>...
[INFO] [compiler:compile {execution: default-compile}]
[INFO] Compiling 13 source files to<path of module B>\target\classes
[INFO] [scr:scr {execution: generate-scr-descriptor}]
[ERROR] Unable to get manifest from artifact at <path of module A>\target\classes:0
[INFO] ------------------------------------------------------------------------
[ERROR] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] SCR Descriptor parsing had failures (see log)
[INFO] ------------------------------------------------------------------------
[INFO] For more information, run Maven with the -e switch
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 44 seconds
[INFO] Finished at: Thu Mar 10 10:43:58 CET 2011
[INFO] Final Memory: 93M/237M
[INFO] ------------------------------------------------------------------------",,,,,,,,,,,,,,,,,,,,11/Mar/11 18:27;kwin;multimoduleosgi.zip;https://issues.apache.org/jira/secure/attachment/12473416/multimoduleosgi.zip,11/Mar/11 18:29;kwin;out.log;https://issues.apache.org/jira/secure/attachment/12473417/out.log,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2011-03-11 09:07:09.081,,,no_permission,,,,,,,,,,,56101,,,Wed May 11 14:52:27 UTC 2011,,,,,,0|i0kpqv:,118988,,,,,,,,"11/Mar/11 09:07;cziegeler;Could you please run Maven with the -e switch and attach the exception stacktrace to this bug?

Thanks","11/Mar/11 18:27;kwin;Attached is an example multimodule with two OSGi modules, where modulea depends upon moduleb",11/Mar/11 18:29;kwin;Attached is the maven log of mvn clean test -e,"25/Apr/11 13:52;andrei.pozolotin;I have similar symptoms for m2e background build runs (edit/save java file from src/test/java in a project with scr annotations):

4/25/11 8:44:02 AM CDT: [ERROR] Unable to get manifest from artifact at /home/user1/Workspaces/barchart-3.6-work/test-osgi/pom/compiled/osgi-hello-0/target/classes:0
4/25/11 8:44:02 AM CDT: Build errors for osgi-hello-1; org.apache.maven.lifecycle.LifecycleExecutionException: Failed to execute goal org.apache.felix:maven-scr-plugin:1.7.0:scr (generate-scr-scrdescriptor) on project osgi-hello-1: SCR Descriptor parsing had failures (see log)

command line mvn invocations work fine.",02/May/11 14:32;cziegeler;I've applied a fix for this in revision 1098597,11/May/11 04:21;andrei.pozolotin;Carsten: which maven repo do you publish your snapshots to? thanks. Andrei.,"11/May/11 13:21;cziegeler;Hi,

the snapshots should be available from

https://repository.apache.org/content/repositories/snapshots/","11/May/11 14:52;andrei.pozolotin;http://felix.apache.org/site/apache-felix-maven-scr-plugin-use.html

currently does not document this plugin property:

    /**
     * @parameter expression=""${project.build.directory}/scr-plugin-generated""
     * @required
     * @readonly
     */
    private File outputDirectory;
",,,,,,,,,,,,,,,,,,,
<reference> element not generated when name is missing,FELIX-2876,12500852,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,cziegeler,fmeschbe,fmeschbe,09/Mar/11 08:11,13/Mar/11 12:55,14/Mar/19 02:47,09/Mar/11 13:13, maven-scr-plugin-1.6.0,,,,,,,,,,maven-scr-plugin-1.7.0,scr ant task 1.1.0,scr generator 1.1.0,,SCR Tooling,,,,,,,0,,,,,,"I have the following class:

    @Component(specVersion = ""1.1"")
    @Service(Servlet.class)
    @Reference(referenceInterface = LogService.class, strategy = ReferenceStrategy.LOOKUP)
    public class Test extends HttpServlet {
    }

Running this through the Maven SCR Plugin, I would expect this descriptor:


    <?xml version=""1.0"" encoding=""UTF-8""?>
    <components xmlns:scr=""http://www.osgi.org/xmlns/scr/v1.1.0"">
        <scr:component enabled=""true"" name=""test.Test"">
            <implementation class=""test.Test""/>
            <service servicefactory=""false"">
                <provide interface=""javax.servlet.Servlet""/>
            </service>
            <property name=""service.pid"" value=""test.Test""/>
            <reference interface=""org.osgi.service.log.LogService"" cardinality=""1..1"" policy=""static""/>
        </scr:component>
    </components>

what I get is the following descriptor without the <reference> element

    <?xml version=""1.0"" encoding=""UTF-8""?>
    <components xmlns:scr=""http://www.osgi.org/xmlns/scr/v1.1.0"">
        <scr:component enabled=""true"" name=""test.Test"">
            <implementation class=""test.Test""/>
            <service servicefactory=""false"">
                <provide interface=""javax.servlet.Servlet""/>
            </service>
            <property name=""service.pid"" value=""test.Test""/>
        </scr:component>
    </components>

Adding the ""name"" attribute to the @Reference tag properly generates <reference> element, though.

IMHO this is false in multiple ways:
  * There is no log message indicating this omission
  * According to the DS 1.1 spec, the name attribute is optional; thus a <reference> element without name must be generated
  * If I set specVersion=""1.0"" in the @Component tag, an error should be generated for the missing name tag (because the name tag is required in DS 1.0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2011-03-09 10:03:36.759,,,no_permission,,,,,,,,,,,56103,,,Wed Mar 09 13:13:04 UTC 2011,,,,,,0|i0vy0v:,184485,,,,,,,,09/Mar/11 10:03;cziegeler;References without a name where completly ignored. I've now changed the code according to the description above in revision 1079719,09/Mar/11 10:40;cziegeler;The above commit does not handle bind/unbind method generation and check,09/Mar/11 11:05;cziegeler;Updated the reference validation to check for null name and use the interface class name instead when searching for bind/unbind methods. Revision 1079744,09/Mar/11 13:13;cziegeler;I think everything is working now,,,,,,,,,,,,,,,,,,,,,,,
ConcurrentModificationException in gogo runtime,FELIX-2870,12500210,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Minor,Fixed,db82407,db82407,db82407,02/Mar/11 18:40,17/Mar/15 07:06,14/Mar/19 02:47,02/Mar/11 21:52,gogo.runtime-0.8.0,,,,,,,,,,gogo.runtime-0.10.0,,,,Gogo Runtime,,,,,,,0,,,,,,"java.util.ConcurrentModificationException
       at java.util.LinkedHashMap$LinkedHashIterator.nextEntry(LinkedHashMap.java:373)
       at java.util.LinkedHashMap$EntryIterator.next(LinkedHashMap.java:392)
       at java.util.LinkedHashMap$EntryIterator.next(LinkedHashMap.java:391)
       at org.apache.felix.gogo.runtime.CommandProcessorImpl.getCommand(CommandProcessorImpl.java:119)
       at org.apache.felix.gogo.runtime.CommandSessionImpl.get(CommandSessionImpl.java:144)
       at org.apache.felix.gogo.runtime.Closure.get(Closure.java:602)
       at org.apache.felix.gogo.runtime.Closure.executeCmd(Closure.java:438)
       at org.apache.felix.gogo.runtime.Closure.executeStatement(Closure.java:395)
       at org.apache.felix.gogo.runtime.Pipe.run(Pipe.java:108)
       at org.apache.felix.gogo.runtime.Closure.execute(Closure.java:183)
       at org.apache.felix.gogo.runtime.Closure.execute(Closure.java:120)
       at org.apache.felix.gogo.runtime.CommandSessionImpl.execute(CommandSessionImpl.java:89)
       at org.apache.felix.gogo.shell.Activator.run(Activator.java:75)
       at java.lang.Thread.run(Thread.java:680)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,56109,,,Wed Mar 02 21:52:51 UTC 2011,,,,,,0|i0vvjb:,184082,,,,,,,,02/Mar/11 21:52;db82407;synchronize access to commands.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Icon only works if absolute path specified, but specification allows for relative urls",FELIX-2868,12500106,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Minor,Fixed,fmeschbe,aradzak,aradzak,01/Mar/11 22:02,20/Nov/12 11:00,14/Mar/19 02:47,22/Oct/11 12:23,metatype-1.0.4,,,,,,,,,, metatype-1.0.6,,,,Metatype Service,,,,,,,0,,,,,,"the icon's ""resource"" attribute only resolves to an icon if the absolute url path is specified, but the specification says ""The base URL is assumed to be the XML file with the definition.  I.e. if the XML is a resource in the JAR file, then this URL can reference another resource in that JAR file using a relative URL."" ",ubuntu 10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2011-10-22 12:23:08.731,,,no_permission,,,,,,,,,,,56111,,,Tue Nov 20 11:00:51 UTC 2012,,,,,,0|i0b21z:,62445,,,,,,,,"01/Mar/11 22:08;aradzak;actually I think it's worse than that.. /OSGI-INF/metatype/icon.png is an absolute path .. OSGI-INF/metatype/icon.png is a relative path.  Both work, but according to the specification, the relative path should use as its base where the ""xml file with the definition"" (aka metatype.xml) is.  As such, OSGI-INF/metatype/icon.png should fail to resolve because it should translate to an absolute path of /OSGI-INF/metatype/OSGI-INF/metatype/icon.png , which does not exist.","22/Oct/11 12:23;fmeschbe;Fixed in Rev. 1187688. Now the icon path is converted into an URL using the
metatype descriptor file referring to it as the base URL (as implied by the spec)",20/Nov/12 11:00;fmeschbe;Close after release,,,,,,,,,,,,,,,,,,,,,,,,
getIcon() in LocalizedObjectClassDefinition keyset iteration incorrect,FELIX-2867,12500100,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,fmeschbe,aradzak,aradzak,01/Mar/11 21:29,20/Nov/12 11:00,14/Mar/19 02:47,22/Oct/11 09:44,metatype-1.0.4,,,,,,,,,, metatype-1.0.6,,,,Metatype Service,,,,,,,0,,,,,,"LocalizedObjectClassDefinition:137 attempts to get next iteration element typecast to Map.Entry , which gets a class cast exception most likely because the keys are of type Integer.  The map is keys = integers , values = strings (see OCD.java two levels up).  The code appears to believe that, instead, it's a map of maps.. or something.",ubuntu 10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2011-10-22 09:44:13.265,,,no_permission,,,,,,,,,,,56112,,,Tue Nov 20 11:00:52 UTC 2012,,,,,,0|i0l4c7:,121353,,,,,,,,22/Oct/11 09:44;fmeschbe;Thanks for reporting the bug. I have fixed this in Rev. 1187680,20/Nov/12 11:00;fmeschbe;Close after release,,,,,,,,,,,,,,,,,,,,,,,,,
getLocales() in DefaultMetaTypeProvider needs to check return of findEntries,FELIX-2860,12499535,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,fmeschbe,aradzak,aradzak,23/Feb/11 21:45,20/Nov/12 11:00,14/Mar/19 02:47,24/Feb/11 09:39,metatype-1.0.4,,,,,,,,,, metatype-1.0.6,,,,Metatype Service,,,,,,,0,,,,,,"DefaultMetaTypeProvider:128 does a findEntries call which it then uses at 130 , but assumes that it will always be non-null.  findEntries can, and does, return null.

If it helps, I encountered this problem in felix karaf 2.1.4, when I added a bundle to the system to iterate on MetaType information for all the ManagedService and ManagedServiceFactory bundles in the system, IF they also had an associated configuration (even an empty one should be iterable to a limited extent, aka, recognizing that it has a configuration).  All the bundles successfully iterated except for FileInstall 3.1.10.  This may or may not imply that there is also a bug in FileInstall 3.1.10.",ubuntu 10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2011-02-24 09:39:43.1,,,no_permission,,,,,,,,,,,40375,,,Tue Nov 20 11:00:51 UTC 2012,,,,,,0|i0apu7:,60459,,,,,,,,"23/Feb/11 23:35;aradzak;regarding my last sentence about possible bug in FileInstall 3.1.10 : it isn't.  FileInstall's metatype.xml doesn't specify a localization entry, which the xml schema in the compendium spec says is fine (aka, it's optional).  As a result, the MetaType service ""guesses"" using Constants.BUNDLE_LOCALIZATION_DEFAULT_BASENAME (OSGI-INF/l10n/bundle), but FileInstall has nothing there either (which is still fine).  So, we arrive back at needing to handle the case where not specifying localization means there really really isn't localization (aka, the null case).","24/Feb/11 09:39;fmeschbe;Thanks for reporting this issue. Good catch !

I have fixed this in Rev. 1074087 guarding against a null enumeration",20/Nov/12 11:00;fmeschbe;Close after release,,,,,,,,,,,,,,,,,,,,,,,,
WebConsole cannot read the list of enabled plugins when using FileInstall,FELIX-2855,12499396,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,v_valchev,krumpi,krumpi,22/Feb/11 20:03,23/Nov/12 06:54,14/Mar/19 02:47,07/Sep/11 13:12,webconsole-3.1.8,,,,,,,,,,webconsole-4.0.0,,,,File Install,Web Console,,,,,,0,,,,,,"This happens when running felix with Apache FileInstall and the Apache WebConsole with a configuration file org.apache.felix.webconsole.internal.servlet.OsgiManager.cfg that contains a plugins entry like:

plugins = [org.apache.felix.webconsole.internal.compendium.ConfigManager, org.apache.felix.webconsole.internal.core.BundlesServlet, org.apache.felix.webconsole.internal.core.ServicesServlet, org.apache.felix.webconsole.internal.misc.ShellServlet, org.apache.felix.webconsole.internal.system.VMStatPlugin]

This is generated with the configuration UI selecting and unselecting a few plugins
The bug is that File Install will save the plugins entry as indicated above but when the WebConsole start is not able to read the plugins entry like above and defaults to all plugins are enabled
",,,86400,86400,,0%,86400,86400,,,,,,,,,,,,22/Feb/11 20:05;krumpi;FELIX-2855.patch;https://issues.apache.org/jira/secure/attachment/12471660/FELIX-2855.patch,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2011-09-07 13:12:54.822,,,no_permission,,,,,,,,,,,56120,,,Fri Nov 23 06:54:48 UTC 2012,,,,,,0|i0rfjj:,158161,,,,,,,,22/Feb/11 20:05;krumpi;This is a proposed fix for OsgiManager that will read a plugins property as a String and parse it appropriately,07/Sep/11 13:12;v_valchev;Fixed together with https://issues.apache.org/jira/browse/FELIX-2697,23/Nov/12 06:54;fmeschbe;Close after release,,,,,,,,,,,,,,,,,,,,,,,,
Infinite reloading of config file ending with .config,FELIX-2852,12499270,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Critical,Fixed,gnt,thecarlhall,thecarlhall,21/Feb/11 19:29,17/Mar/15 07:00,14/Mar/19 02:47,15/Mar/12 17:01,fileinstall-3.1.10,,,,,,,,,,fileinstall-3.2.0,,,,File Install,,,,,,,3,,,,,,"When a config file ending with .config is written back to the file system, lastModified is updated even if the file has not changed since it was last written/read. Config files ending with .cfg are not affected by this as lastModified is not updated if the file has not changed.

Workaround: apply the patch from FELIX-2843 and set felix.fileinstall.disableConfigSave=false",,,,,,,,,,,,,,,,,,,,08/Mar/11 06:50;thecarlhall;felix-2852.diff;https://issues.apache.org/jira/secure/attachment/12472917/felix-2852.diff,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2012-02-21 13:30:39.303,,,no_permission,,,,,,,,,,,56123,,,Tue Feb 21 13:30:39 UTC 2012,,,,,,0|i07gb3:,41408,,,,,,,,21/Feb/11 19:31;thecarlhall;I have a preliminary patch put together to update the .config file's checksum in the scanner but have hardcoded how the scanner is retrieved. I will continue to refine the patch and attach it once I am satisfied with it.,08/Mar/11 06:50;thecarlhall;Attached a patch to manually update a file's checksum after writing a .config file. The checksum is only updated in scanners that have prior knowledge of the file.,"13/Apr/11 02:43;thecarlhall;Bumping up to ""critical"" as infinite loops can get painful. Not a blocker as there is a workaround.","21/Feb/12 13:30;jstrom;~1 year later; is there any update on this bug? I still have this problem running 3.1.10 (as shipped with Apache Karaf 2.2.5). As 3.1.10 is the latest version released, and the workaround doesn't work on the released version, I'd say this is a problem. Patching trunk manually isn't too production-friendly.",,,,,,,,,,,,,,,,,,,,,,,
NPE in ConfigurationManager.java:1003 (static String toString( ServiceReference ref )),FELIX-2847,12498900,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,fmeschbe,chomats,chomats,17/Feb/11 15:14,25/Sep/13 14:02,14/Mar/19 02:47,18/Feb/11 13:11, configadmin-1.2.8,,,,,,,,,,configadmin-1.4.0,,,,Configuration Admin,,,,,,,0,,,,,,"When the config admin thread try to log an error (in handleCallBackError), a NPE is raised. May ref.getBundle() is null ?

java.lang.NullPointerException
        at org.apache.felix.cm.impl.ConfigurationManager.toString(ConfigurationManager.java:1003)[3:org.apache.felix.configadmin:1.2.8]
        at org.apache.felix.cm.impl.ConfigurationManager.handleCallBackError(ConfigurationManager.java:1028)[3:org.apache.felix.configadmin:1.2.8]
        at org.apache.felix.cm.impl.ConfigurationManager$ManagedServiceUpdate.run(ConfigurationManager.java:1164)[3:org.apache.felix.configadmin:1.2.8]
        at org.apache.felix.cm.impl.UpdateThread.run(UpdateThread.java:104)[3:org.apache.felix.configadmin:1.2.8]
        at java.lang.Thread.run(Thread.java:662)[:1.6.0_23]",window ; cygwin,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2011-02-18 11:23:33.569,,,no_permission,,,,,,,,,,,40403,,,Wed Sep 25 14:02:35 UTC 2013,,,,,,0|i0ar0v:,60651,,,,,,,,"18/Feb/11 11:23;fmeschbe;Yes, ServiceReference.getBundle() may be null if the service has been unregistered. This may probably also be the cause for the error to report: The service has been unregistered and thus update fails...

Will fix the toString() method to check for this situation and adapt logging accordingly.",18/Feb/11 13:11;fmeschbe;Fixed in Rev. 1071990.,25/Sep/13 14:02;fmeschbe;Close issues after release,,,,,,,,,,,,,,,,,,,,,,,,
ipojo composite references wrong maven-ipojo-plugin version,FELIX-2845,12498764,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,clement.escoffier,pieber,pieber,16/Feb/11 14:24,04/Feb/13 12:34,14/Mar/19 02:47,16/Feb/11 15:54,,,,,,,,,,,,,,,iPOJO,,,,,,,0,,,,,,If you build ipojo with an empty maven repository the problem occurs that some projects still reference maven-ipojo-plugin 1.7.0-SNAPSHOT (1.9.0-SNAPSHOT) instead. Could be easily solved by upgrading to 1.8.0.,,,,,,,,,,,,,,,,,,,,16/Feb/11 14:25;pieber;ipojo-maven-plugin-version.patch;https://issues.apache.org/jira/secure/attachment/12471174/ipojo-maven-plugin-version.patch,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2011-02-16 15:54:32.992,,,no_permission,,,,,,,,,,,40402,,,Wed Feb 16 15:54:32 UTC 2011,,,,,,0|i0aqe7:,60549,,,,,,,,16/Feb/11 14:25;pieber;Fix for the problem,"16/Feb/11 15:54;clement.escoffier;I've applied your patch.

Thanks !",,,,,,,,,,,,,,,,,,,,,,,,,
