Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Cloners),Outward issue link (Reference),Attachment,Attachment,Attachment,Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Existing GitBox Approval),Custom field (External issue URL),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Severity),Custom field (Severity),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Test and Documentation Plan),Custom field (Testcase included),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Coordination is not checked if its terminated,FELIX-6062,13216622,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,cziegeler,cziegeler,cziegeler,19/Feb/19 12:45,23/Feb/19 09:47,14/Mar/19 02:49,19/Feb/19 12:49,configadmin-1.9.10,,,,configadmin-1.9.12,,,,Configuration Admin,,0,,"When a coordination is used, it must be checked whether it is usable before a participant is added
",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Tue Feb 19 12:49:12 UTC 2019,,,,,,0|yi14rs:,9223372036854775807,,,,,,,,19/Feb/19 12:49;cziegeler;Fixed in rev 1853877,,,,,,,,,,,,,,,
Configuration Admin uses getDeclaredMethods without permission,FELIX-6061,13216620,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Blocker,Fixed,timothyjward,timothyjward,timothyjward,19/Feb/19 12:40,23/Feb/19 09:47,14/Mar/19 02:49,20/Feb/19 08:34,configadmin-1.9.10,,,,configadmin-1.9.12,,,,Configuration Admin,,0,,"The use of getDeclaredMethods requires a security permission which Configuration Admin doesn't have. This needs to be fixed by either using getMethods (which doesn't need a permission) or adding the permission to Configuration Admin's permissions.perm

Removing the call would be preferred.

 

Note that this bug breaks the OSGi Compliance Tests",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Wed Feb 20 08:34:41 UTC 2019,,,,,,0|yi14rc:,9223372036854775807,,,,,,,,20/Feb/19 08:34;timothyjward;Changed to use getMethods() in SVN revision 1853885,,,,,,,,,,,,,,,
SCR exports promises,FELIX-6056,13215244,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,tjwatson,pkriens,pkriens,12/Feb/19 13:13,01/Mar/19 14:26,14/Mar/19 02:49,15/Feb/19 20:28,,,,,scr-2.1.16,,,,Declarative Services (SCR),,0,,"Apache Felix SCR exports promises 1.0 as a convenience. However, since this package contains the implementation it is a +provider+. Originally, the import was correct for a provider, [1,1.1). however, last July it was increased to [1,2). This therefore against the semantic versioning specification that prescribes a minor import range when providing the implementation of an API.

Exporting an package like Promises is not a good idea anyway. It is only a convenience, promises have nothing to do with SCR in itself and that will always back fire in the end. Even exporting it correctly causes unnecessary version constraints since the order of resolving cannot be controlled. So if you have Promises 1.1 it depends on the order of resolving if SCR uses 1.0 or 1.1 and it creates nasty class spaces.

It is inconvenient to make SCR depend on Promises. Personally I would not have used promises or would have included the package privately. (No API of SCR depends on Promises) Since SCR is such a crucial base component I strongly recommend to not export it from SCR. ",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2019-02-12 13:34:17.439,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Wed Feb 13 14:42:00 UTC 2019,,,,,,0|yi0wc0:,9223372036854775807,,,,,,,,"12/Feb/19 13:34;tjwatson;Also see FELIX-6043.  I'm perfectly fine having promises be imported.  But I will point out that SCR API DOES use promises with the following return types from:

org.osgi.service.component.runtime.ServiceComponentRuntime.enableComponent(ComponentDescriptionDTO)
org.osgi.service.component.runtime.ServiceComponentRuntime.disableComponent(ComponentDescriptionDTO)

And promises uses function.  Current versions of SCR release say they export function but they don't actually have any of the content from function.","12/Feb/19 13:55;pkriens;Yes, the API dependency is unfortunate since very few bundles use this class (let alone these rarely used methods). it is one of the few places where an OSGi spec references another spec than the framework. We always tried to keep these separate, which is imho good design. Not sure what happened here. The cost of not letting these functions use Promises would have been negligent.

The reason they export functions as well is I assume that Promises needs requires them. Another good reason not to export a package that is not yours.","12/Feb/19 23:34;tjwatson;OK, I think we should change to not export promises or function (only import them).","13/Feb/19 08:19;pkriens;Come on Tom! That was way too easy, this way you spoil all the fun! :)

Thanks a lot, any idea of a time frame?","13/Feb/19 11:07;cziegeler;I'm not sure what exactly we're trying to fix here. So far you need a single bundle for SCR. By not including promise/functions you out of a sudden need three bundles.
I understand the theoretical discussions about this, but in practice both bundles are released once every couple of years - next release will be with R8 I guess. 
So why can't we just inlcude the latest version, properly export/import it and are done with it for the next N years?","13/Feb/19 11:31;pkriens;By wrapping it in a single bundle you force others to follow {color:#333333}your{color} Promises' {color:#FF0000}implementation{color} and that version is not always compatible. in a runtime (The version we currently use for R7 is R6 promises.) Since SCR is such a fundamental bundle it should not force such constraints on other people's runtime.

Notice that this is mostly caused because it includes API {color:#FF0000}and{color} an implementation. An API only would still be not cohesive but would work ok. Since others do this as well, there is no backward compatibility on the API possible. You therefore must import it [1,1.1) This constrained will then likely cause multiple class spaces in more complex runtimes and that is almost always havoc. That is why importing [1,2) for a provided package is basically throwing a big wrench in the semantic versioning.

Exporting a package that is not part of your primary responsibility is fundamentally wrong in component based design. Yes, I feel we messed up on the SCR Runtime API to force Promises in the ScrComponentRuntime methods and it is inconvenient to require 3 instead of 1 bundle but the cause is the bad API design that references another spec, this causes an _external_ reference. Solving this problem by exporting those references is a hack and will cause problems.

At my customers I see the problems always around the bundles that start doing these hacks, never around simple clean honest manifests that refer to what they should refer to. Apache Felix has always been extremely good in this respect so I was quite surprised when I learned about this.

 ","13/Feb/19 11:45;cziegeler;Yes, I agree that we shouldn't have used Promises in the SCR Runtime API and its also a problem that promises has both API and impl in the same package.
I think we've updated to R7 promises now.
I'm still not 100% convinced about this, but in the end it's not important enough to spend too much time on it. It seems the current situation is causing problems, so let's change it and see what happens","13/Feb/19 12:48;pkriens;Since when are you guys so easy to convince? You spoil all the fun!  :)

BTW, I drove by Bielefeld last week and it was much nicer than I thought! :)

Thx

 ",13/Feb/19 13:26;cziegeler;That's impossible :) it doesn't exist...,"13/Feb/19 14:28;tjwatson;It wasn't hard to convince me because I didn't like these exports of util packages to begin with.  I just wasn't as motivated as you to change the current situation :)

I've been fixing a few other bugs in SCR so we can do our upgrade to SCR R7 for open liberty.  I'm still working through the testing of that before I want to consider a release of felix, but I think this issue should be fixed for the next SCR release.","13/Feb/19 14:42;tjwatson;I have a PR at: https://github.com/apache/felix/pull/183

Not sure why the magic linking in jira isn't happening for it.  I've reverted the dependencies back to 1.0 versions of promises and function because the implementation of SCR doesn't need the latest.  I've removed the exports and the explicit imports so that BND will calculate the imports and range.  This results in only promises getting imported at range [1.0,2.0) which I think is good.

I had to update the integration test to configure pax to install the promises and function bundles.  I will merge to trunk if I don't hear any objections today (we can always revert if needed).",,,,,
NullPointerException possible because ServiceReference.getBundle() can return null,FELIX-6055,13214465,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,tjwatson,tjwatson,tjwatson,07/Feb/19 21:24,01/Mar/19 14:26,14/Mar/19 02:49,07/Feb/19 21:51,scr-2.1.14,,,,scr-2.1.16,,,,Declarative Services (SCR),,0,,"There are a couple of places in the SCR code where it gets the bundle object from ServiceReference.getBundle(). Unfortunately this method can return null when a service becomes unregistered. This can lead to FrameworkEvent errors with NPEs that look like the following:
{code}
 FrameworkEvent ERROR java.lang.NullPointerException
 at org.apache.felix.scr.impl.runtime.ServiceComponentRuntimeImpl.serviceChanged(ServiceComponentRuntimeImpl.java:491)
 at org.eclipse.osgi.internal.serviceregistry.FilteredServiceListener.serviceChanged(FilteredServiceListener.java:112)
 at org.eclipse.osgi.internal.framework.BundleContextImpl.dispatchEvent(BundleContextImpl.java:923)
 at org.eclipse.osgi.framework.eventmgr.EventManager.dispatchEvent(EventManager.java:233)
 at org.eclipse.osgi.framework.eventmgr.ListenerQueue.dispatchEventSynchronous(ListenerQueue.java:151)
 at org.eclipse.osgi.internal.serviceregistry.ServiceRegistry.publishServiceEventPrivileged(ServiceRegistry.java:865)
 at org.eclipse.osgi.internal.serviceregistry.ServiceRegistry.publishServiceEvent(ServiceRegistry.java:804)
 at org.eclipse.osgi.internal.serviceregistry.ServiceRegistrationImpl.setProperties(ServiceRegistrationImpl.java:171)
{code}

We should protect against such cases.",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Thu Feb 07 21:51:01 UTC 2019,,,,,,0|yi0rjc:,9223372036854775807,,,,,,,,07/Feb/19 21:51;tjwatson;Fixed in svn revision 1853160,,,,,,,,,,,,,,,
HC Servlet rendering for json/verbose.txt is broken if property hc.name is missing,FELIX-6054,13214463,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,,henzlerg,henzlerg,07/Feb/19 21:22,27/Feb/19 16:15,14/Mar/19 02:49,07/Feb/19 21:54,,,,,healthcheck.core 2.0.0,,,,Health Checks,,0,,"If a HC does not have the property hc.name (this property is explicitly optional), the servlet fails for format ""json"" or ""verbose.txt"" (""html"" and ""txt"" work just fine). 

The problem also exists in the latest Sling Version of Health Checks.",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Thu Feb 07 21:54:19 UTC 2019,,,,,,0|yi0riw:,9223372036854775807,,,,,,,,07/Feb/19 21:54;henzlerg;Fixed in [r1853163|http://svn.apache.org/r1853163],,,,,,,,,,,,,,,
JMX Bean log should INFO/DEBUG level correctly,FELIX-6053,13214461,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,,henzlerg,henzlerg,07/Feb/19 20:51,27/Feb/19 16:15,14/Mar/19 02:49,08/Feb/19 14:47,,,,,healthcheck.core 2.0.0,,,,Health Checks,,0,,"Currently the JMX LogTable does not differentiate between DEBUG/INFO in column ""level"" ",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Fri Feb 08 14:47:24 UTC 2019,,,,,,0|yi0rig:,9223372036854775807,,,,,,,,08/Feb/19 14:47;henzlerg;Fixed in [r1853224|http://svn.apache.org/r1853224],,,,,,,,,,,,,,,
Ensure MBeans are registered also for legacy HCs,FELIX-6052,13214460,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,,henzlerg,henzlerg,07/Feb/19 20:49,27/Feb/19 16:15,14/Mar/19 02:49,08/Feb/19 14:39,,,,,healthcheck.core 2.0.0,,,,Health Checks,,0,,"For execution, legacy HCs are already taken into account:
https://issues.apache.org/jira/browse/FELIX-5952?focusedCommentId=16643281&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-16643281 

For JMX Bean registration, the same mechanism should kick in for consistency.",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Fri Feb 08 14:39:42 UTC 2019,,,,,,0|yi0ri8:,9223372036854775807,,,,,,,,"08/Feb/19 14:39;henzlerg;Fixed in [r1853222|http://svn.apache.org/r1853222] by using the same filter expression as HealthCheckFilter is doing. Also improved filter to only include relevant services that have property ""hc.mbean.name"" set.",,,,,,,,,,,,,,,
Use abstract class for PrototypeRefPair implementations for Single vs. Multiple case,FELIX-6050,13214253,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Minor,Fixed,tjwatson,tjwatson,tjwatson,06/Feb/19 21:08,01/Mar/19 14:26,14/Mar/19 02:49,07/Feb/19 16:33,scr-2.1.14,,,,scr-2.1.16,,,,Declarative Services (SCR),,0,,"The SCR implementation has two classes that keep track of prototype references from a service component:

org.apache.felix.scr.impl.manager.MultiplePrototypeRefPair
org.apache.felix.scr.impl.manager.SinglePrototypeRefPair

I'm not entirely sure what motivated the need for Multiple vs. Single here.  The Single one gets used if the service component is a singleton service component.  The Multiple one gets used for service components that are bundle or prototype service components.  The Multiple one will key the instances of the referenced prototype service by the ComponentContextImpl for the requiring service component.  That way if there are multiple instances of the requiring component each instance (and therefore ComponentContextImpl insteance) will get a unique instance of the required prototype service.

It appears the thought was that some optimizations could have been realized for the Singleton case so it has a specialized class separate from Multiple.  But I think this only makes the code hard to understand and I question that the current state of the code is providing any performance improvement.

I propose we remove the SinglePrototypeRefPair and rename the MultiplePrototypeRefPair to be simply PrototypeRefPair.",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2019-02-06 22:18:19.311,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Thu Feb 07 16:33:57 UTC 2019,,,,,,0|yi0q8o:,9223372036854775807,,,,,,,,"06/Feb/19 22:18;githubbot;GitHub user tjwatson opened a pull request:

    https://github.com/apache/felix/pull/182

    FELIX-6050 - remove SinglePrototypeRefPair

    

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/tjwatson/felix FELIX-6050

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/felix/pull/182.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #182
    
----
commit 1d2a62c36a7bb5ce8cf538447fcbe9d85265c343
Author: Tom Watson <tjwatson@...>
Date:   2019-02-06T21:13:33Z

    FELIX-6050 - remove SinglePrototypeRefPair

----
",06/Feb/19 22:46;djencks;The motivation was to provide a simpler quicker code path when there was only the one component with the reference; it leaves out a map and a map lookup.  I still think the two versions make some sense but I'm not going to argue.  It's not going to make any timing difference unless the component is using the locator strategy repeatedly over and over again; it does make a slight space difference.,"07/Feb/19 16:02;tjwatson;OK, we can keep the two versions, but I am going to refactor the code a bit so the two implementations Single vs. Multiple can share common code for dealing with ServiceObjects.",07/Feb/19 16:33;tjwatson;Refactored the PrototypeRefPair impls to share code.,,,,,,,,,,,,
Listeners registered with boolean property are ignored,FELIX-6049,13213936,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,cziegeler,tdriessen,tdriessen,05/Feb/19 15:16,01/Mar/19 14:13,14/Mar/19 02:49,07/Feb/19 06:40,http.base-4.0.4,http.bridge-4.0.4,http.jetty-4.0.6,,http.base-4.0.6,http.bridge-4.0.6,http.jetty-4.0.8,,HTTP Service,,0,,"I just tried to get a ServletContextListener to work, but did not succeed, although everything is done as defined by the spec.
 
Here you can find a minimal example of my setup [https://github.com/Sandared/io.jatoms.osgi.possiblebugs.scl]
 
The Servlet I'm registering is working fine, but the ServletContextListener that I registered too is never called. 
Even if I call getServletContext() from within the Servlet, my Listener is never called.
I would have expected the ServletContextListener to be called at least once, after a DefaultServletContext has been created by the ServletContainer
 
Additional Information:
The MySCL.java:
 
@Component
@HttpWhiteboardListener
public class MySCL implements ServletContextListener {
    @Override
    public void contextDestroyed(ServletContextEvent arg0) {
        System.out.println(""Destroyed"");
    }

    @Override
    public void contextInitialized(ServletContextEvent arg0) {
        System.out.println(""Initialized"");
    }
}
 
Bundles running:
START LEVEL 1
   ID|State      |Level|Name
    0|Active     |    0|OSGi System Bundle (3.13.100.v20180827-1536)|3.13.100.v20180827-1536
    1|Active     |    1|osgi.possiblebugs.scl.impl (0.0.1.201902051255)|0.0.1.201902051255
    2|Active     |    1|Apache Commons FileUpload (1.3.3)|1.3.3
    3|Active     |    1|Apache Commons IO (2.6.0)|2.6.0
    4|Active     |    1|Apache Felix Gogo Command (1.0.2)|1.0.2
    5|Active     |    1|Apache Felix Gogo Runtime (1.0.10)|1.0.10
    6|Active     |    1|Apache Felix Gogo Shell (1.0.0)|1.0.0
    7|Active     |    1|Apache Felix Http Jetty (4.0.6)|4.0.6Li
    8|Active     |    1|Apache Felix Servlet API (1.1.2)|1.1.2
    9|Active     |    1|Apache Felix Inventory (1.0.4)|1.0.4
   10|Active     |    1|Apache Felix Declarative Services (2.1.10)|2.1.10
   11|Active     |    1|Apache Felix Web Management Console (4.3.4)|4.3.4
   12|Active     |    1|Apache Felix Web Console Service Component Runtime/Declarative Services Plugin (2.0.8)|2.0.8
   13|Active     |    1|org.osgi:org.osgi.util.function (1.1.0.201802012106)|1.1.0.201802012106


List of components registered:
 
io.jatoms.osgi.possiblebugs.scl.MyServlet in bundle 1 (io.jatoms.osgi.possiblebugs.scl.impl:0.0.1.201902051258) enabled, 1 instance.
    Id: 1, State:ACTIVE
io.jatoms.osgi.possiblebugs.scl.MySCL in bundle 1 (io.jatoms.osgi.possiblebugs.scl.impl:0.0.1.201902051258) enabled, 1 instance.
    Id: 0, State:SATISFIED
 
Info for MySCL component:
Class:         io.jatoms.osgi.possiblebugs.scl.MySCL
Bundle:        1 (io.jatoms.osgi.possiblebugs.scl.impl:0.0.1.201902051258)
Enabled:       true
Immediate:     false
Services:      [javax.servlet.ServletContextListener]
Scope:         singleton
Config PID(s): [io.jatoms.osgi.possiblebugs.scl.MySCL], Policy: optional
Base Props:    (1 entry)
  osgi.http.whiteboard.listener<Boolean> = true

Component Configuration Id: 0
-----------------------------
State:        SATISFIED
Service:      50 [javax.servlet.ServletContextListener]
Config Props: (3 entries)
  component.id<Long> = 0
  component.name<String> = io.jatoms.osgi.possiblebugs.scl.MySCL
  osgi.http.whiteboard.listener<Boolean> = true
References:   (total 0)
 
Is there anything wrong with this setup? Or is this a bug of felix.http?",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2019-02-06 15:14:54.07,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Fri Feb 08 10:46:20 UTC 2019,,,,,,0|yi0oag:,9223372036854775807,,,,,,,,"06/Feb/19 15:14;cziegeler;Registration looks ok to me, it seems your listener is not picked up.
Can you debug and see whether ListenersTracker#getServiceInfo is called for your listener? ","06/Feb/19 16:27;tdriessen;ListenersTracker#getServiceInfo is called.

 

I searched a little bit and I think I found the reason why this is not working:

 

Within ListenerInfo constructor there is the following statement:

this.enabled = ""true"".equalsIgnoreCase(this.getStringProperty(ref, HttpWhiteboardConstants.HTTP_WHITEBOARD_LISTENER));

This one returns false although the value is actually set to ""true"".

This is because getStringProperty() returns null if the value asked for is not of type String.

The attribute HttpWhiteboardConstants.HTTP_WHITEBOARD_LISTENER is of type Boolean, so this statement evaluates to ""true"".equalsIgnoreCase(null);

 

The ""enabled"" value is then used in WhiteboardManager#addWhiteboardService to determine if the the service is actually valid, which it is not because it is not enabled.","06/Feb/19 16:31;tdriessen;A quick check validated this.

If I change my component like this:

@Component(property= \{HttpWhiteboardConstants.HTTP_WHITEBOARD_LISTENER + ""=true""})
public class MySCL implements ServletContextListener ...

it works as expected.","07/Feb/19 06:06;cziegeler;Thanks, yes in R6 this property needed to be of type String, we relaxed that for R7 but apparently forgot to adjust the code",07/Feb/19 06:37;cziegeler;Fixed in rev 1853114.,08/Feb/19 10:46;tdriessen;Thanks :),,,,,,,,,,
Component deactivation does not cause reference services to be ungotten,FELIX-6044,13213366,Bug,Closed,FELIX,Felix,software,karlpauls,"OSGi container, services, and related tools",http://felix.apache.org,Major,Fixed,tjwatson,tjwatson,tjwatson,01/Feb/19 17:21,01/Mar/19 14:26,14/Mar/19 02:49,05/Feb/19 16:39,scr-2.1.14,,,,scr-2.1.16,,,,Declarative Services (SCR),,0,,"The fix to FELIX-5974 has caused an issue for the default reference scope of bundle.  When a component has a simple @Reference and that component is deactivated the services that it references will not be ungotten by SCR.  This causes all kinds of issues for use counting of the consumed service.

The issue is that org.apache.felix.scr.impl.manager.DependencyManager.close(ComponentContextImpl<S>, EdgeInfo) is calling RefPair.unsetServiceObject now for all RefPair types.  The RefPair types MultiplePrototypeRefPair and SinglePrototypeRefPair were updated to have unsetServiceObject to also have that service be ungotten.  But the default SingleRefPair type was not.  This causes issues when ultimately the DependencyManagers are deactivated later which then closes the customizer for the dependency and org.apache.felix.scr.impl.manager.DependencyManager.AbstractCustomizer.ungetService(RefPair<S, T>) is called.  By this time there will now be a null service and it will not be ungotten.",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,2019-02-01 18:15:18.911,,,no_permission,,,,,,,,,,,,9223372036854775807,,,Tue Feb 05 16:38:32 UTC 2019,,,,,,0|yi0ks0:,9223372036854775807,,,,,,,,"01/Feb/19 18:15;githubbot;GitHub user tjwatson opened a pull request:

    https://github.com/apache/felix/pull/180

    FELIX-6044 - avoid calling ungetServiceObject too early for simple case of SingleRefPair

    

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/tjwatson/felix FELIX-6044

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/felix/pull/180.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #180
    
----
commit bf7f727dc812458133e1f8814a9f4ae6b5df3988
Author: Tom Watson <tjwatson@...>
Date:   2019-02-01T17:28:38Z

    FELIX-6044 - avoid calling ungetServiceObject too early for simple case
    of SingleRefPair

----
","05/Feb/19 16:38;githubbot;Github user tjwatson closed the pull request at:

    https://github.com/apache/felix/pull/180
",,,,,,,,,,,,,,
