"","project","major","minor","release","filename","filepath","shortpath","churn","la","ld","CC","LOC","num_pre","bfs","exp","num_bugs","num_post","priority","release_id"
"1","camel",2,10,"2.10.0","AlreadyStoppedException.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/AlreadyStoppedException.java","/org/apache/camel/AlreadyStoppedException.java",0,0,0,0.00210526315789474,0.00306748466257669,0,0,0,0,0,0,0
"2","camel",2,10,"2.10.0","AsyncCallback.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/AsyncCallback.java","/org/apache/camel/AsyncCallback.java",0,0,0,0,0.00153374233128834,0,0,0,0,0,0,0
"3","camel",2,10,"2.10.0","AsyncProcessor.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/AsyncProcessor.java","/org/apache/camel/AsyncProcessor.java",0,0,0,0,0.00153374233128834,0,0,0,0,0,0,0
"4","camel",2,10,"2.10.0","AsyncProducerCallback.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/AsyncProducerCallback.java","/org/apache/camel/AsyncProducerCallback.java",0,0,0,0,0.00204498977505112,0,0,0,0,0,0,0
"5","camel",2,10,"2.10.0","Attachments.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/Attachments.java","/org/apache/camel/Attachments.java",0,0,0,0,0.00511247443762781,0,0,0,0,0,0,0
"6","camel",2,10,"2.10.0","BatchConsumer.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/BatchConsumer.java","/org/apache/camel/BatchConsumer.java",0,0,0,0,0.00306748466257669,0,0,0,0,0,0,0
"7","camel",2,10,"2.10.0","BinaryPredicate.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/BinaryPredicate.java","/org/apache/camel/BinaryPredicate.java",0,0,0,0,0.00306748466257669,0,0,0,0,0,0,0
"8","camel",2,10,"2.10.0","Body.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/Body.java","/org/apache/camel/Body.java",0,0,0,0,0.00511247443762781,0,0,0,0,0,0,0
"9","camel",2,10,"2.10.0","BytesSource.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/BytesSource.java","/org/apache/camel/BytesSource.java",0,0,0,0.0147368421052632,0.016359918200409,0,0,0,0,0,0,0
"10","camel",2,10,"2.10.0","CamelAuthorizationException.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/CamelAuthorizationException.java","/org/apache/camel/CamelAuthorizationException.java",0,0,0,0.00631578947368421,0.00766871165644172,0,0,0,0,0,0,0
"11","camel",2,10,"2.10.0","CamelContext.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/CamelContext.java","/org/apache/camel/CamelContext.java",0.0139935414424112,12,1,0,0.0879345603271984,3,0,0,0,0,0,0
"12","camel",2,10,"2.10.0","CamelContextAware.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/CamelContextAware.java","/org/apache/camel/CamelContextAware.java",0,0,0,0,0.00204498977505112,0,0,0,0,0,0,0
"13","camel",2,10,"2.10.0","CamelException.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/CamelException.java","/org/apache/camel/CamelException.java",0,0,0,0.00842105263157895,0.00715746421267894,0,0,0,0,0,0,0
"14","camel",2,10,"2.10.0","CamelExchangeException.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/CamelExchangeException.java","/org/apache/camel/CamelExchangeException.java",0,0,0,0.0189473684210526,0.0173824130879346,0,0,0,0,0,0,0
"15","camel",2,10,"2.10.0","CamelExecutionException.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/CamelExecutionException.java","/org/apache/camel/CamelExecutionException.java",0,0,0,0.00421052631578947,0.00460122699386503,0,0,0,0,0,0,0
"16","camel",2,10,"2.10.0","CamelUnitOfWorkException.java","/home/kjbaron/Documents/NABATS/cloned_repos/camel-2.10.0/camel-core/src/main/java/org/apache/camel/CamelUnitOfWorkException.java","/org/apache/camel/CamelUnitOfWorkException.java",0,0,0,0.00421052631578947,0.00664621676891616,0,0,0,0,0,0,0
