"","project","major","minor","release","filename","filepath","shortpath","churn","la","ld","CC","LOC","num_pre","bfs","exp","num_bugs","num_post","priority","release_id"
"1","hive",2,0,"2.0.0","AccumuloConnectionParameters.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloConnectionParameters.java","/hadoop/hive/accumulo/AccumuloConnectionParameters.java",0,0,0,0.000788943903367974,0.000948747451502856,0,0,0,0,0,0,0
"2","hive",2,0,"2.0.0","AccumuloHiveConstants.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveConstants.java","/hadoop/hive/accumulo/AccumuloHiveConstants.java",0,0,0,0,8.74731692874974e-05,0,0,0,0,0,0,0
"3","hive",2,0,"2.0.0","AccumuloHiveRow.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveRow.java","/hadoop/hive/accumulo/AccumuloHiveRow.java",0,0,0,0.00119701833614451,0.00123808178068458,0,0,0,0,0,0,0
"4","hive",2,0,"2.0.0","AccumuloStorageHandler.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloStorageHandler.java","/hadoop/hive/accumulo/AccumuloStorageHandler.java",0,0,0,0.00155068284455085,0.00204552642026148,0,0,0,0,0,0,0
"5","hive",2,0,"2.0.0","HiveAccumuloHelper.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/HiveAccumuloHelper.java","/hadoop/hive/accumulo/HiveAccumuloHelper.java",0.00084620592036433,45,10,0.000544099243702051,0.000995848388811509,1,0,0,0,0,0,0
"6","hive",2,0,"2.0.0","LazyAccumuloMap.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloMap.java","/hadoop/hive/accumulo/LazyAccumuloMap.java",0,0,0,0.000462484357146744,0.000632498301001904,0,0,0,0,0,0,0
"7","hive",2,0,"2.0.0","LazyAccumuloRow.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloRow.java","/hadoop/hive/accumulo/LazyAccumuloRow.java",7.69278109422118e-05,3,2,0.000516894281516949,0.000753614996938439,1,0,0,0,0,0,0
"8","hive",2,0,"2.0.0","Utils.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/Utils.java","/hadoop/hive/accumulo/Utils.java",7.69278109422118e-05,3,2,0.00116981337395941,0.00156105963651534,1,0,0,0,0,0,0
"9","hive",2,0,"2.0.0","ColumnEncoding.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnEncoding.java","/hive/accumulo/columns/ColumnEncoding.java",0,0,0,0.000625714130257359,0.000659413122321134,0,0,0,0,0,0,0
"10","hive",2,0,"2.0.0","ColumnMapper.java","/home/kjbaron/Documents/NABATS/cloned_repos/hive-2.0.0/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapper.java","/hive/accumulo/columns/ColumnMapper.java",7.69278109422118e-05,3,2,0.000625714130257359,0.000793987228917284,1,0,0,0,0,0,0
