"","V1","V2","V3","V4"
"1","Project","Y #Bugs","Y ChgLines","Y Exp"
"2","accumulo","0.19979092290187","0.0954995020925594","0.0176204789545269"
"3","bookkeeper","0.109845978930866","0.00581737056339215","0.0509089994663114"
"4","camel","0.0453054758533835","0.041745175766267","0.0523336767903909"
"5","cassandra","0.407705058759434","0.0637583267302511","0.0079933586894203"
"6","cxf","0.0561583646821104","0.0198928902342802","0.0219989949045576"
"7","derby","0.0416969904583802","0.0287179147049387","0.0107802566675147"
"8","felix","0.572685767359569","0.178386563875522","0.0985618967804905"
"9","hive","0.0764796086395135","0.122965578122732","0.0409850571518576"
"10","openjpa","0.135062582833825","0.262301175117267","0.0151683944326959"
"11","pig","0.0249531066427714","0.0363271403176142","0.0384823094992984"
"12","wicket","0.281488407781878","0.0848233098289392","0.00731482180960641"
