"","V1","V2","V3","V4","V5"
"1","Project","Features","Y #Bugs","Y ChgLines","Y Exp"
"2","accumulo","X LOC","0.335805681372176","0.507230924482606","0.355544411918164"
"3","accumulo","X CC","0.256955569128869","0.413447678311484","0.323229957318364"
"4","accumulo","X churn","0.223397400353855","0.0432825315842686","0.181017152889403"
"5","bookkeeper","X LOC","0.309637152586248","0.104308216620645","0.387835599745103"
"6","bookkeeper","X CC","0.59932834253972","0.0782785582409337","0.575744363730245"
"7","bookkeeper","X churn","0.0353785828288538","0.357394806764007","0.0155093774348165"
"8","camel","X LOC","0.443325475726713","0.50779902680109","0.452633942483695"
"9","camel","X CC","0.298598611023667","0.467682651793254","0.493358743642255"
"10","camel","X churn","0.122837501892906","0.0139646301753067","0.0224543425267168"
"11","cassandra","X LOC","0.418481977853302","0.418165176631004","0.402460220058685"
"12","cassandra","X CC","0.382212286957897","0.384585080863214","0.323768065443808"
"13","cassandra","X churn","0.114666221152168","0.0981648914585942","0.110901459998275"
"14","cxf","X LOC","0.621276845394586","0.423699638989476","0.287028329478655"
"15","cxf","X CC","0.326506927204182","0.260926530557889","0.352901115983392"
"16","cxf","X churn","0.0280980379668248","0.186261647734653","0.204336684046775"
"17","derby","X LOC","0.205995631217798","0.0921893661851055","0.0105190080503499"
"18","derby","X CC","0.221235906880995","0.0806025177433201","0.0161418272887556"
"19","derby","X churn","0.330063581064692","0.392086067923398","0.57662036091225"
"20","felix","X LOC","0.219084988548915","0.516232755399427","0.0310664335847412"
"21","felix","X CC","0.267328800248839","0.173486204529089","0.0358622705959191"
"22","felix","X churn","0.256101366122667","0.150622855101648","0.499108448421566"
"23","hive","X LOC","0.0336209614141265","0.0841139357257875","0.0669798839958419"
"24","hive","X CC","0.0292246714468973","0.0819563119145437","0.0563709112243496"
"25","hive","X churn","0.581145222631403","0.512230202019832","0.496102817203285"
"26","openjpa","X LOC","0.115666508390587","0.0121633255784927","0.0133329827102068"
"27","openjpa","X CC","0.112011794204689","0.00940103457972433","0.0136238762937653"
"28","openjpa","X churn","0.443885900048983","0.52248171744254","0.566495699472591"
"29","pig","X LOC","0.211058557113628","0.702983178930579","0.488084998745277"
"30","pig","X CC","0.433100786294214","0.234302481100656","0.1919946141316"
"31","pig","X churn","0.170399278980662","0.0279580041795747","0.168118965227783"
"32","wicket","X LOC","0.559534366330817","0.583940585469863","0.037505455206172"
"33","wicket","X CC","0.288194681606272","0.26909991313935","0.0129928324261386"
"34","wicket","X churn","0.0751591143567045","0.0744419273590988","0.47155959614674"
